native,NATIVE
captive,CAPTIVE
cultivated,CULTIVATED
released,RELEASED
failing,FAILING
casual,CASUAL
reproducing,REPRODUCING
established,ESTABLISHED
colonising,COLONISING
інвазійний,INVASIVE
invasiv,INVASIVE
invazivní,INVASIVE
侵略的,INVASIVE
invasora,INVASIVE
入侵的,INVASIVE
инвазивный,INVASIVE
envahissant,INVASIVE
inwazyjny,INVASIVE
غازي,INVASIVE
invasive,INVASIVE
widespread invasive,WIDESPREAD_INVASIVE
