zero,CC0
CC0_1.0,CC0
Public Domain,CC0
cc zero,CC0
CC_BY_1.0,CC_BY
CC_BY_2.0,CC_BY
CC_BY_3.0,CC_BY
CC_BY_4.0,CC_BY
CC_BY_NC_1.0,CC_BY_NC
CC_BY_NC_2.0,CC_BY_NC
CC_BY_NC_3.0,CC_BY_NC
CC_BY_NC_4.0,CC_BY_NC
CC_BY_SA_1.0,CC_BY_SA
CC_BY_SA_2.0,CC_BY_SA
CC_BY_SA_3.0,CC_BY_SA
CC_BY_SA_4.0,CC_BY_SA
CC_BY_ND_1.0,CC_BY_ND
CC_BY_ND_2.0,CC_BY_ND
CC_BY_ND_3.0,CC_BY_ND
CC_BY_ND_4.0,CC_BY_ND
CC_BY_NC_SA_1.0,CC_BY_NC_SA
CC_BY_NC_SA_2.0,CC_BY_NC_SA
CC_BY_NC_SA_3.0,CC_BY_NC_SA
CC_BY_NC_SA_4.0,CC_BY_NC_SA
CC_BY_NC_ND_1.0,CC_BY_NC_ND
CC_BY_NC_ND_2.0,CC_BY_NC_ND
CC_BY_NC_ND_3.0,CC_BY_NC_ND
CC_BY_NC_ND_4.0,CC_BY_NC_ND
xyz,UNSPECIFIED
null,UNSPECIFIED
