type,subject_code,subject_rank,subject_name,subject_id,estimate,reference_id,created,modified
0,4,phylum,Nematomorpha,bb4e22e8-9099-4a04-a834-4c8743e6de1c,339,74,2015-10-08 20:32:02,2018-04-10 19:19:08
0,4,phylum,Nemertea,de5ff810-b4a8-4bd1-bcf1-d91c19bd289a,1358,74,2015-10-08 20:32:29,2018-04-10 19:19:34
0,4,phylum,Onychophora,45d969f1-404d-469f-bc37-e7d97c8c70f6,183,74,2015-10-08 20:33:04,2018-04-10 19:20:06
0,1,class,Psilotopsida,,123,72,2015-10-09 23:44:41,2016-01-05 18:53:25
0,4,phylum,Orthonectida,dbd5c003-1255-4fdc-b04b-7bb424e8be0c,29,74,2015-10-08 20:33:36,2018-04-10 19:20:37
0,4,phylum,Phoronida,dbab201d-1928-4095-903c-b734fb45db57,16,74,2015-10-08 20:34:26,2018-04-10 19:21:09
0,4,phylum,Placozoa,09195162-f35a-4f67-a47b-4f4d403ad83e,1,74,2015-10-08 20:35:04,2018-04-10 19:21:33
0,4,phylum,Platyhelminthes,352b3873-4104-44c7-8f54-c2bad7fe567b,29487,74,2015-10-08 20:35:41,2018-04-10 19:03:35
0,4,phylum,Porifera,e1848572-a042-4e73-8813-e2ff763256ed,8659,74,2015-10-08 20:36:24,2018-04-10 19:22:39
0,4,phylum,Rotifera,2ed58ab5-a700-4129-8a21-5d117ccb63b2,2049,74,2015-10-08 20:37:00,2018-04-10 19:23:13
0,4,phylum,Tardigrada,cf324fae-eb2d-42af-97fc-c80d764a0891,1167,74,2015-10-08 20:39:56,2018-04-10 19:24:24
0,4,phylum,Chordata,6606b653-3f55-4ee4-aba3-0f95a1f5ead5,49693,40,2015-10-08 21:15:47,
0,4,phylum,Sipuncula,07f5e128-a2e9-4b5e-9639-807a8d8c30a3,320,40,2015-10-08 21:16:44,
0,4,class,Arachnida,b868d556-71ea-4ec5-a57e-cf97646ca85e,110615,3,2015-10-08 22:16:38,
0,4,class,Chilopoda,3fdbd5a2-788e-40b6-9658-53507b6e4fa4,3100,3,2015-10-08 22:20:56,
0,4,class,Diplopoda,62d1b81b-b6b0-4f31-a5fd-7efb036698b0,15000,,2015-10-08 22:21:32,2018-04-26 18:01:16
0,4,order,Collembola,198fc194-848e-4c66-a5ed-719b06c101e1,8130,3,2015-10-08 22:28:10,
0,4,class,Entognatha,abfd1b07-4026-42b3-acfd-3635747fd5cb,9734,7,2015-10-08 22:29:24,
0,4,order,Diplura,349955af-050c-4d02-b235-6a82cb80a345,800,3,2015-10-08 22:29:47,
0,4,order,Protura,e37a4f9c-c04b-4c1c-9d3d-6073c81a3725,804,3,2015-10-08 22:30:10,
0,4,class,Insecta,06ec82f1-dd3d-43e1-a75f-b5cd4198e804,1053578,69,2015-10-08 22:31:21,2018-04-09 18:06:30
0,4,class,Malacostraca,1c595dac-cb70-46bb-9912-ed42b942ed38,40200,40,2015-10-08 22:33:42,
0,4,class,Branchiopoda,a1f0ec79-808d-4ed3-be4e-b997f98605b8,900,40,2015-10-08 22:35:59,
0,4,class,Maxillopoda,77ee75a5-a4d0-4837-b99c-815ce0d3a2f7,26000,40,2015-10-08 22:37:23,
0,4,class,Merostomata,a46844ac-5ebe-4a39-9027-0ed397783495,5,40,2015-10-08 22:39:39,2017-06-27 19:06:58
0,4,class,Ostracoda,558307f4-343d-4f60-b380-afd3f9303d06,13000,40,2015-10-08 22:41:23,
0,4,class,Pauropoda,f1f53451-8e1b-4d5a-a0bc-afc133141dc8,835,3,2015-10-08 22:42:08,
0,4,class,Pycnogonida,cd97cdb8-9746-40e0-bf4a-ad15c5dc82a8,1322,3,2015-10-08 22:42:55,
0,4,class,Remipedia,5c13557c-9142-4a18-80e1-9a47306ccd8e,12,40,2015-10-08 22:44:34,
0,4,class,Symphyla,608e001c-df78-4b26-89cf-4d584ca70db4,197,3,2015-10-08 22:45:11,
0,4,class,Cephalocarida,85d36ae8-a075-4355-bcd8-bda2c9a8ab05,10,40,2015-10-08 22:49:10,
0,4,kingdom,4,061950e4-9782-4d1a-9c87-dcf375788e6b,1525728,27,2015-10-08 22:51:08,2018-04-09 17:54:39
0,1,order,Isoetales,a81195e4-8fa2-4620-8420-3fae86c84654,170,72,2015-10-09 23:36:26,
0,1,order,Lycopodiales,2281fe7a-22db-4709-a0af-35214e6a701f,470,72,2015-10-09 23:36:41,
0,1,order,Selaginellales,7a982019-3049-4a52-8a7d-aab3cd0ec69f,690,72,2015-10-09 23:37:02,
0,1,order,Equisetales,553b9a9d-cc17-435e-a92c-0081054e7ffa,40,72,2015-10-09 23:37:53,2015-10-16 16:39:00
0,1,order,Ophioglossales,47480265-5446-4800-82fe-7f8b0bf9bb36,106,72,2015-10-09 23:38:48,2016-01-05 18:52:54
0,1,order,Psilotales,d9750283-47a8-4751-8fb5-c916b0aa32e5,17,72,2015-10-09 23:39:03,
0,1,order,Marattiales,019e56ac-5e38-46e9-8966-99163ec4b78e,140,72,2015-10-09 23:39:42,
0,1,order,Osmundales,7aa4c5cd-647a-4d09-8557-794a1facdd6b,21,72,2015-10-09 23:40:01,
0,1,order,Hymenophyllales,0fb910ac-626a-48a6-b60c-128fac7cbe42,600,72,2015-10-09 23:40:21,
0,1,order,Osmundales,7aa4c5cd-647a-4d09-8557-794a1facdd6b,21,72,2015-10-09 23:40:40,
0,1,order,Polypodiales,e0f65d05-37d3-4a3f-afd8-14dce209086e,9049,72,2015-10-09 23:41:00,2016-01-05 18:28:51
0,1,order,Salviniales,bb84b6e9-b26a-4df0-ba15-7c3c1c677391,78,72,2015-10-09 23:41:31,2016-01-05 18:29:03
0,1,order,Schizaeales,c3b62b73-f5da-4f54-a03b-6e97b541ea4d,187,72,2015-10-09 23:42:03,2016-01-05 18:29:17
0,1,class,Equisetopsida,,40,72,2015-10-09 23:44:06,2015-10-16 16:38:13
0,1,class,Marattiopsida,,140,72,2015-10-09 23:45:09,
0,1,order,Gleicheniales,3a7a31fd-8aa0-48ed-8841-faae38b8f8b4,163,72,2015-10-09 23:46:08,
0,1,order,Cyatheales,1bf85edd-f59d-4fe5-a5f7-74960c08f640,711,72,2015-10-09 23:46:40,
0,1,genus,Ginkgo,a1d51c8a-0b01-4265-9054-adb53f2f068d,1,,2015-10-09 23:47:52,
0,1,family,Ginkgoaceae,e8980f05-6868-4e8d-8b85-d7a3e5bacf1a,1,,2015-10-09 23:47:58,
0,1,order,Ginkgoales,59cf658a-a2a7-42f3-bfb3-4a2021d29f14,1,,2015-10-09 23:48:05,
0,1,class,Ginkgoopsida,b71ed815-981a-46de-bc94-8534eba764e6,1,,2015-10-09 23:48:11,
0,1,genus,Welwitschia,26432959-7e73-436b-be27-07ba4c53b8ab,1,,2015-10-09 23:48:57,
0,1,family,Welwitschiaceae,ab75c205-7a12-4cfa-b48c-73c7f4766e0c,1,,2015-10-09 23:49:02,
0,1,order,Welwitschiales,2dc12ae3-1234-4b1a-942b-43561e7e426f,1,,2015-10-09 23:49:07,
0,1,class,Lycopodiopsida,80846c91-b2c8-409e-a88f-8c5213637016,1330,72,2015-10-09 23:50:01,
0,1,class,Polypodiopsida,617adb8a-4aef-4973-bb32-f2d4a4e91b1d,10804,72,2015-10-09 23:52:53,2016-01-05 18:28:36
0,1,family,Equisetaceae,c2a3efa2-c94b-4166-943b-9dd84864a61a,40,72,2015-10-16 16:39:09,
0,1,genus,Equisetum,4e064ccf-1175-4998-8ca4-4fb4f45c7f44,40,72,2015-10-16 16:39:21,
0,4,order,Strepsiptera,7e953fd3-bccc-489e-add4-e301328017b3,617,70,2015-10-19 18:55:28,
0,4,family,Bahiaxenidae,d5846aba-eaf8-4b0e-ad3c-5a708a350760,1,70,2015-10-19 18:55:55,
0,4,family,Bohartillidae,656d8489-3f44-4ae9-8751-c9533f015a89,1,70,2015-10-19 18:56:12,
0,4,family,Corioxenidae,31fac813-cb86-4c46-abd6-38dc9b410e87,46,70,2015-10-19 18:56:31,
0,4,family,Elenchidae,1f5c75dc-1d44-45f7-8def-1a5a5b82c707,28,70,2015-10-19 18:57:36,
0,4,family,Halictophagidae,3e928d9a-aecf-4a4f-a1d1-20b9af783cb6,132,70,2015-10-19 18:58:00,
0,4,family,Lychnocolacidae,58a59c75-517a-4c43-a0c7-6820dea068d4,23,70,2015-10-19 18:58:15,
