id,homotypic_name_id,scientific_name,authorship,rank,uninomial,genus,infrageneric_epithet,specific_epithet,infraspecific_epithet,cultivar_epithet,strain,candidatus,notho,basionym_authors,basionym_ex_authors,basionym_year,combination_authors,combination_ex_authors,combination_year,sanctioning_author,code,nom_status,type
41647723,41647723,Erythraeidae,,family,Erythraeidae,,,,,,,f,,{},{},,{},{},,,,,0
41643987,41643987,Olpidiales,,order,Olpidiales,,,,,,,f,,{},{},,{},{},,,,,0
41644167,41644167,Cambalopsidae,,family,Cambalopsidae,,,,,,,f,,{},{},,{},{},,,,,0
41646259,41646259,Nototheniidae,,family,Nototheniidae,,,,,,,f,,{},{},,{},{},,,,,0
41643121,41643121,Tetrasquillidae,,family,Tetrasquillidae,,,,,,,f,,{},{},,{},{},,,,,0
41649780,41649780,Iflaviridae,,family,Iflaviridae,,,,,,,f,,{},{},,{},{},,,,,0
41646215,41646215,Hypogastruroidea,,superfamily,Hypogastruroidea,,,,,,,f,,{},{},,{},{},,,,,0
41654447,41654447,Allosauridae,,family,Allosauridae,,,,,,,f,,{},{},,{},{},,,,,0
41646565,41646565,Margaritiferidae,,family,Margaritiferidae,,,,,,,f,,{},{},,{},{},,,,,0
41655687,41655687,Mixolineidae,,family,Mixolineidae,,,,,,,f,,{},{},,{},{},,,,,0
41652173,41652173,Apterygidae,,family,Apterygidae,,,,,,,f,,{},{},,{},{},,,,,0
41642097,41642097,Blattoidea,,superfamily,Blattoidea,,,,,,,f,,{},{},,{},{},,,,,0
41652433,41652433,Hernandiaceae,,family,Hernandiaceae,,,,,,,f,,{},{},,{},{},,,,,0
41645504,41645504,Sternoppiidae,,family,Sternoppiidae,,,,,,,f,,{},{},,{},{},,,,,0
41644820,41644820,Pagodulinidae,,family,Pagodulinidae,,,,,,,f,,{},{},,{},{},,,,,0
41645376,41645376,Cheliferidae,,family,Cheliferidae,,,,,,,f,,{},{},,{},{},,,,,0
41649674,41649674,Gyrocotylidea,,order,Gyrocotylidea,,,,,,,f,,{},{},,{},{},,,,,0
41648323,41648323,Drepaneidae,,family,Drepaneidae,,,,,,,f,,{},{},,{},{},,,,,0
41644905,41644905,Psephenidae,,family,Psephenidae,,,,,,,f,,{},{},,{},{},,,,,0
41641952,41641952,Pseudopeniliidae,,family,Pseudopeniliidae,,,,,,,f,,{},{},,{},{},,,,,0
41642086,41642086,Echimyidae,,family,Echimyidae,,,,,,,f,,{},{},,{},{},,,,,0
41648873,41648873,Kiitrichida,,order,Kiitrichida,,,,,,,f,,{},{},,{},{},,,,,0
41646179,41646179,Chaerilidae,,family,Chaerilidae,,,,,,,f,,{},{},,{},{},,,,,0
41650862,41650862,Otariidae,,family,Otariidae,,,,,,,f,,{},{},,{},{},,,,,0
41653736,41653736,Strophonellidae,,family,Strophonellidae,,,,,,,f,,{},{},,{},{},,,,,0
41652302,41652302,Heteroxyidae,,family,Heteroxyidae,,,,,,,f,,{},{},,{},{},,,,,0
41654300,41654300,Chaoyoungosauroidea,,superfamily,Chaoyoungosauroidea,,,,,,,f,,{},{},,{},{},,,,,0
41644868,41644868,Apachyidae,,family,Apachyidae,,,,,,,f,,{},{},,{},{},,,,,0
41647093,41647093,Microscaphidiidae,,family,Microscaphidiidae,,,,,,,f,,{},{},,{},{},,,,,0
41651872,41651872,Megakhosaridae,,family,Megakhosaridae,,,,,,,f,,{},{},,{},{},,,,,0
41646542,41646542,Amnicolidae,,family,Amnicolidae,,,,,,,f,,{},{},,{},{},,,,,0
41653382,41653382,Goniolobocerataceae,,superfamily,Goniolobocerataceae,,,,,,,f,,{},{},,{},{},,,,,0
41643098,41643098,Hypoblepharinidae,,family,Hypoblepharinidae,,,,,,,f,,{},{},,{},{},,,,,0
41645802,41645802,Terapontidae,,family,Terapontidae,,,,,,,f,,{},{},,{},{},,,,,0
41645857,41645857,Odiniidae,,family,Odiniidae,,,,,,,f,,{},{},,{},{},,,,,0
41654413,41654413,Captorhinidae,,family,Captorhinidae,,,,,,,f,,{},{},,{},{},,,,,0
41646045,41646045,Not assigned,,order,,,,,,,,f,,{},{},,{},{},,,,,5
41655292,41655292,Epigambriidae,,family,Epigambriidae,,,,,,,f,,{},{},,{},{},,,,,0
41653818,41653818,Rafinesquinidae,,family,Rafinesquinidae,,,,,,,f,,{},{},,{},{},,,,,0
41655638,41655638,Posidoniaceae,,family,Posidoniaceae,,,,,,,f,,{},{},,{},{},,,,,0
41649730,41649730,Diclidophoridae,,family,Diclidophoridae,,,,,,,f,,{},{},,{},{},,,,,0
41643112,41643112,Clypeasteroida,,order,Clypeasteroida,,,,,,,f,,{},{},,{},{},,,,,0
41655541,41655541,Cletodidae,,family,Cletodidae,,,,,,,f,,{},{},,{},{},,,,,0
41652936,41652936,Parvivaccidae,,family,Parvivaccidae,,,,,,,f,,{},{},,{},{},,,,,0
41647615,41647615,Southbyaceae,,family,Southbyaceae,,,,,,,f,,{},{},,{},{},,,,,0
