id,parent_id,name_id,provisional,fossil,recent,lifezones,species_estimate,species_estimate_reference_id
41641775,,41641775,f,,,{},,
41644370,41641775,41644370,f,,,{},,
41644371,41644370,41644371,f,,,{},,
41644372,41644371,41644372,f,,,{},,
41651253,41644372,41651253,f,,,{},,
41644377,41644372,41644377,f,,,{},,
41644378,41644377,41644378,f,,,{},,
41648460,41644377,41648460,f,,,{},,
41644375,41644372,41644375,f,,,{},,
41646086,41644375,41646086,f,,,{},,
41646122,41644375,41646122,f,,,{},,
41649855,41644375,41649855,f,,,{},,
41644376,41644375,41644376,f,,,{},,
41649851,41644375,41649851,f,,,{},,
41649192,41644375,41649192,f,,,{},,
41652244,41644375,41652244,f,,,{},,
41648534,41644375,41648534,f,,,{},,
41651323,41644375,41651323,f,,,{},,
41648458,41644375,41648458,f,,,{},,
41644387,41644375,41644387,f,,,{},,
41646126,41644375,41646126,f,,,{},,
41652249,41644375,41652249,f,,,{},,
41648448,41644375,41648448,f,,,{},,
41652254,41644375,41652254,f,,,{},,
41648536,41644375,41648536,f,,,{},,
41652252,41644375,41652252,f,,,{},,
41654913,41644375,41654913,f,,,{},,
41652246,41644375,41652246,f,,,{},,
41651085,41644375,41651085,f,,,{},,
41651345,41644375,41651345,f,,,{},,
41649185,41644375,41649185,f,,,{},,
41646084,41644375,41646084,f,,,{},,
41652399,41644375,41652399,f,,,{},,
41651101,41644375,41651101,f,,,{},,
41652397,41644375,41652397,f,,,{},,
41652398,41644375,41652398,f,,,{},,
41646077,41644375,41646077,f,,,{},,
41649198,41644375,41649198,f,,,{},,
41649197,41644375,41649197,f,,,{},,
41651086,41644375,41651086,f,,,{},,
41651092,41644375,41651092,f,,,{},,
41651089,41644372,41651089,f,,,{},,
41651090,41651089,41651090,f,,,{},,
41651091,41651089,41651091,f,,,{},,
41654914,41651089,41654914,f,,,{},,
41646116,41644372,41646116,f,,,{},,
41649861,41646116,41649861,f,,,{},,
41646117,41646116,41646117,f,,,{},,
41649564,41644372,41649564,f,,,{},,
41649565,41649564,41649565,f,,,{},,
41648446,41644372,41648446,f,,,{},,
41648447,41648446,41648447,f,,,{},,
41645249,41644372,41645249,f,,,{},,
41645250,41645249,41645250,f,,,{},,
41646061,41644372,41646061,f,,,{},,
41646063,41646061,41646063,f,,,{},,
41648442,41646061,41648442,f,,,{},,
41648136,41646061,41648136,f,,,{},,
41652255,41646061,41652255,f,,,{},,
41646062,41646061,41646062,f,,,{},,
41646055,41644372,41646055,f,,,{},,
41646056,41646055,41646056,f,,,{},,
41646051,41644372,41646051,f,,,{},,
41651325,41646051,41651325,f,,,{},,
41646052,41646051,41646052,f,,,{},,
41646059,41644372,41646059,f,,,{},,
41646121,41646059,41646121,f,,,{},,
41648439,41646059,41648439,f,,,{},,
41651082,41646059,41651082,f,,,{},,
41654915,41646059,41654915,f,,,{},,
41649858,41646059,41649858,f,,,{},,
41646073,41646059,41646073,f,,,{},,
41646067,41646059,41646067,f,,,{},,
41646060,41646059,41646060,f,,,{},,
41646070,41644372,41646070,f,,,{},,
41651099,41646070,41651099,f,,,{},,
41646072,41646070,41646072,f,,,{},,
41646079,41646070,41646079,f,,,{},,
41646085,41646070,41646085,f,,,{},,
41650656,41646070,41650656,f,,,{},,
41651096,41646070,41651096,f,,,{},,
41649853,41646070,41649853,f,,,{},,
41650366,41646070,41650366,f,,,{},,
41646076,41646070,41646076,f,,,{},,
41646071,41646070,41646071,f,,,{},,
41649194,41646070,41649194,f,,,{},,
41649989,41646070,41649989,f,,,{},,
41651098,41646070,41651098,f,,,{},,
41649863,41644372,41649863,f,,,{},,
41649864,41649863,41649864,f,,,{},,
41649845,41644372,41649845,f,,,{},,
41649862,41649845,41649862,f,,,{},,
41649846,41649845,41649846,f,,,{},,
41646053,41644372,41646053,f,,,{},,
41646054,41646053,41646054,f,,,{},,
41651343,41646053,41651343,f,,,{},,
41645253,41644372,41645253,f,,,{},,
41645254,41645253,41645254,f,,,{},,
41651324,41645253,41651324,f,,,{},,
41649849,41645253,41649849,f,,,{},,
41651095,41645253,41651095,f,,,{},,
41646082,41644372,41646082,f,,,{},,
41651081,41646082,41651081,f,,,{},,
41646083,41646082,41646083,f,,,{},,
41651252,41646082,41651252,f,,,{},,
41649859,41644372,41649859,f,,,{},,
41649860,41649859,41649860,f,,,{},,
41648349,41644372,41648349,f,,,{},,
41651080,41648349,41651080,f,,,{},,
41648350,41648349,41648350,f,,,{},,
41649848,41648349,41649848,f,,,{},,
41649850,41648349,41649850,f,,,{},,
41646074,41644372,41646074,f,,,{},,
41648535,41646074,41648535,f,,,{},,
41646075,41646074,41646075,f,,,{},,
41645246,41644372,41645246,f,,,{},,
41645247,41645246,41645247,f,,,{},,
41652245,41645246,41652245,f,,,{},,
41652236,41645246,41652236,f,,,{},,
41652396,41645246,41652396,f,,,{},,
41646066,41645246,41646066,f,,,{},,
41652477,41644372,41652477,f,,,{},,
41652478,41652477,41652478,f,,,{},,
41649183,41644372,41649183,f,,,{},,
41649184,41649183,41649184,f,,,{},,
41649180,41644372,41649180,f,,,{},,
41649181,41649180,41649181,f,,,{},,
41646064,41644372,41646064,f,,,{},,
41647855,41646064,41647855,f,,,{},,
41651338,41646064,41651338,f,,,{},,
41651088,41646064,41651088,f,,,{},,
41652243,41646064,41652243,f,,,{},,
41651087,41646064,41651087,f,,,{},,
41652256,41646064,41652256,f,,,{},,
41649187,41646064,41649187,f,,,{},,
41652235,41646064,41652235,f,,,{},,
41649168,41646064,41649168,f,,,{},,
41654912,41646064,41654912,f,,,{},,
41646065,41646064,41646065,f,,,{},,
41648438,41646064,41648438,f,,,{},,
41644373,41644372,41644373,f,,,{},,
41644374,41644373,41644374,f,,,{},,
41648135,41644373,41648135,f,,,{},,
41652247,41644373,41652247,f,,,{},,
41652819,41644373,41652819,f,,,{},,
41652257,41644373,41652257,f,,,{},,
41646080,41644373,41646080,f,,,{},,
41652250,41644372,41652250,f,,,{},,
41652251,41652250,41652251,f,,,{},,
41646068,41644372,41646068,f,,,{},,
41649854,41646068,41649854,f,,,{},,
41652248,41646068,41652248,f,,,{},,
41649844,41646068,41649844,f,,,{},,
41648457,41646068,41648457,f,,,{},,
41648449,41646068,41648449,f,,,{},,
41647856,41646068,41647856,f,,,{},,
41651251,41646068,41651251,f,,,{},,
41648537,41646068,41648537,f,,,{},,
41646069,41646068,41646069,f,,,{},,
41646078,41646068,41646078,f,,,{},,
41649191,41646068,41649191,f,,,{},,
41649196,41646068,41649196,f,,,{},,
41651344,41646068,41651344,f,,,{},,
41648462,41644372,41648462,f,,,{},,
41648463,41648462,41648463,f,,,{},,
41652253,41648462,41652253,f,,,{},,
41655599,41648462,41655599,f,,,{},,
41646057,41644372,41646057,f,,,{},,
41651100,41646057,41651100,f,,,{},,
41646081,41646057,41646081,f,,,{},,
41650365,41646057,41650365,f,,,{},,
41646058,41646057,41646058,f,,,{},,
41646123,41644371,41646123,f,,,{},,
41651097,41646123,41651097,f,,,{},,
