key,subject_dataset_key,subject_rank,subject_name,target_rank,target_name,target_id
97,1098,genus,Soloacrosporiella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
98,1098,genus,Montagnella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
99,1098,genus,Scleroconidioma,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
100,1098,genus,Capillataspora,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
101,1098,genus,Physalosporopsis,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
102,1098,genus,Phaeocyrtidula,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
103,1098,genus,Brevicatenospora,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
104,1098,genus,Licopolia,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
105,1098,genus,Stictochorellina,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
106,1098,genus,Elmerinula,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
107,1098,genus,Hypobryon,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
108,1098,genus,Phanerococcus,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
109,1098,genus,Capsicispora,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
110,1098,genus,Dermatodothella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
111,1098,genus,Mycoporellum,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
112,1098,genus,Mycoglaena,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
113,1098,genus,Belizeana,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
114,1098,genus,Megaloseptoria,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
115,1098,genus,Teichosporella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
116,1098,genus,Thryptospora,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
117,1098,genus,Plectophoma,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
118,1098,genus,Brooksia,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
119,1098,genus,Leveillina,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
120,1098,genus,Mycoporopsis,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
121,1098,genus,Chaetoscutula,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
122,1098,genus,Lazarenkoa,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
123,1098,genus,Catinella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
124,1098,genus,Pteridiospora,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
125,1098,genus,Polysporidiella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
126,1098,genus,Koordersiella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
127,1098,genus,Buelliella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
128,1098,genus,Bahusakala,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
129,1098,genus,Pyrenocyclus,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
130,1098,genus,Santiella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
131,1098,genus,Dendryphiopsis,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
132,1098,genus,Coccochorella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
133,1098,genus,Griggsia,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
134,1098,genus,Bertossia,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
135,1098,genus,Myriostigmella,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
136,1098,genus,Homostegia,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
137,1098,genus,Semifissispora,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
138,1098,genus,Dolabra,class,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
