A C Tangavelou	BOT	Tangav.	A. C. Tangavelou	A.C. Tangavelou
A C V Schott	BOT	A.Schott	Arthur Carl Victor Schott
A C van Bruggen	BOT	A.Bruggen	Adolph Cornelis van Bruggen
A C White	BOT	A.C.White	Alain Campbell White
A Cajander	BOT	Cajander	Aimo Cajander
A Castellanos	BOT	A.Cast.	Alberto Castellanos
A Cesalpino	BOT	Cesalpino	Andrea Cesalpino
A Cogniaux	BOT	Cogn.	Alfred Cogniaux
A Cogollo	BOT	Cogollo	Alvaro Cogollo
A Collie	BOT	Collie	Alexander Collie
A Crundwell	BOT	Crundw.	Alan Crundwell
A Culham	BOT	Culham	Alastair Culham
A Cunningham	BOT	A.Cunn.	Allan Cunningham
A D Cotton	BOT	Cotton	Arthur Disbrowe Cotton
A D Danilov	BOT	A.D.Danilov	Alexander Danilovich Danilov
A D E Elmer	BOT	Elmer	Adolph Daniel Edward Elmer
A D F de Bandaroy	BOT	Foug.	Auguste Denis Fougeroux de Bandaroy
A D Hardy	BOT	A.D.Hardy	Alfred Douglas Hardy
A D Hawkes	BOT	A.D.Hawkes	Alex Drum Hawkes
A D Houghton	BOT	Houghton	Arthur Duvernoix Houghton
A D J Meeuse	BOT	A.Meeuse	Adrianus Dirk Jacob Meeuse
A D Murray	BOT	A.Murray	Andrew Dickson Murray
A Dahl	BOT	Dahl	Anders Dahl
A Danielsen	BOT	Danielsen	Anders Danielsen
A Danin	BOT	Danin	Avinoam Danin
A David	BOT	David	Armand David
A de Bary	BOT	de Bary	Anton de Bary
A de Bivoni-Bernardi	BOT	Biv.	Antonius de Bivoni-Bernardi
A de Jussieu	BOT	A.Juss.	Adrien-Henri de Jussieu
A de Jussieu	BOT	Ant.Juss.	Antoine de Jussieu
A de Kruif	BOT	de Kruif	A.P.M. de Kruif
A Diederichsen	BOT	Diederichsen	Axel Diederichsen
A Ducke	BOT	Ducke	Adolpho Ducke
A Dufft	BOT	Dufft	Adolf Dufft
A Dugand	BOT	Dugand	Armando Dugand
A Durazzini	BOT	Durazz.	Antonio Durazzini
A Duss	BOT	Duss	Antoine Duss
A Dürrnberger	BOT	Dürrnb.	Adolf Dürrnberger
A E B van Wyk	BOT	A.E.van Wyk	Abraham Erasmus Braam van Wyk
A E D Daniels	BOT	A.E.D.Daniels	Albert Ebenezer Dulip Daniels
A E Etlinger	BOT	Etl.	Andreas Ernst Etlinger
A E Finet	BOT	Finet	Achille Eugène Finet
A E Kasper	BOT	Kasper	Andrew Edward Kasper
A E R Reuss	BOT	A.E.Reuss	August Emanuel Rudolph von Reuss
A E Radford	BOT	Radford	Albert Ernest Radford
A E Roupell	BOT	Roupell	Arabella Elizabeth Roupell
A Eastwood	BOT	Eastw.	Alice Eastwood
A Eaton	BOT	Eaton	Amos Eaton
A Eig	BOT	Eig	Alexander Eig
A Ernst	BOT	Ernst	Adolf Ernst
A F Bartsch	BOT	A.F.Bartsch	Alfred Frank Bartsch
A F Blakeslee	BOT	Blakeslee	Albert Francis Blakeslee
A F Flerow	BOT	Flerow	Alexandr Fedorovich Flerow
A F G Kerr	BOT	Kerr	Arthur Francis George Kerr
A F G y Gauna	BOT	Gredilla	Apolinar Federico Gredilla y Gauna
A F le Jolis	BOT	Le Jol.	Auguste François le Jolis
A F M Glaziou	BOT	Glaz.	Auguste François Marie Glaziou
A F M L A von Keyserling	BOT	Keyserl.	Alexander Friedrich Michael Leberecht Arthur von Keyserling
A F Malbranche	BOT	Malbr.	Alexandre François Malbranche	Alexandre-François Malbranche
A F Marion	BOT	Marion	Antoine Fortuné Marion	Antoine-Fortuné Marion
A F Passy	BOT	Passy	Antoine François Passy
A F Pavolini	BOT	Pavol.	Angiolo Ferdinando Pavolini
A F Schweigger	BOT	Schweigg.	August Friedrich Schweigger
A F Spring	BOT	Spring	Antoine Frédéric Spring
A F Tryon	BOT	A.F.Tryon	Alice Faber Tryon
A F W Schimper	BOT	A.Schimp.	Andreas Franz Wilhelm Schimper
A Farjon	BOT	Farjon	Aljos Farjon
A Fiori	BOT	Fiori	Adriano Fiori
A Fischer	BOT	A.Fisch.	Alfred Fischer
A Freire-Fierro	BOT	Freire-Fierro	Alina Freire-Fierro
A Fryer	BOT	Fryer	Alfred Fryer
A Frézier	BOT	Frez.	Amédée-François Frézier
A G Blytt	BOT	A.Blytt	Axel Gudbrand Blytt
A G Borissova	BOT	Boriss.	Antonina Georgievna Borissova
A G C Lawalrée	BOT	Lawalrée	André Gilles Célestin Lawalrée
