August Wilhelm Lackowitz	BOT	August Wilhelm Lackowitz
August Wilhelm Malm	ZOO	August Wilhelm Malm
August Wilhelm Stiehler	BOT	August Wilhelm Stiehler
August Zantedeschi	BOT	August Zantedeschi
August Zobel	BOT	August Zobel
Augusta	BOT	Augusta
Augusta A. Temple	BOT	Augusta A. Temple
Augusta J. Robley	BOT	Augusta J. Robley
Auguste Adolphe Lucien Trécul	BOT	Auguste Adolphe Lucien Trécul
Auguste Alexis Adolphe Alexandre Bellynck	BOT	Auguste Alexis Adolphe Alexandre Bellynck
Auguste Amossé	BOT	Auguste Amossé
Auguste Barrandon	BOT	Auguste Barrandon
Auguste Barthélemy Langlois	BOT	Auguste Barthélemy Langlois
Auguste Boissonneau	ZOO	Auguste Boissonneau	Boissonneau
Auguste Boniface Ghiesbreght	BOT	Auguste Boniface Ghiesbreght
Auguste Cels	BOT	Auguste Cels
Auguste Chevalier	BOT	Auguste Chevalier
Auguste de Bormans	ZOO	Auguste de Bormans	de Bormans
Auguste de Pronville	BOT	Auguste de Pronville
Auguste Denis Fougeroux de Bondaroy	BOT	Auguste Denis Fougeroux de Bondaroy
Auguste Drapiez	BOT	Auguste Drapiez
Auguste Duméril	ZOO	Auguste Duméril
Auguste Eugène Méquignon	ZOO	Auguste Eugène Méquignon	Méq.; Méqu.; Méquign.
Auguste Favrat	BOT	Auguste Favrat
Auguste Felix Ratte	BOT	Auguste Felix Ratte
Auguste Forel	ZOO	Auguste Forel	Forel
Auguste Gras	BOT	Auguste Gras
Auguste Huguenin	BOT	Auguste Huguenin
Auguste Isaac Samuel Schmidely	BOT	Auguste Isaac Samuel Schmidely
Auguste Jean Cuénod	BOT	Auguste Jean Cuénod
Auguste Lameere	ZOO	Auguste Lameere	Lameere
Auguste le Jolis	BOT	Auguste le Jolis
Auguste Le Prévost	BOT	Auguste Le Prévost
Auguste Liégard	BOT	Auguste Liégard
Auguste Loubière	BOT	Auguste Loubière
Auguste Louis Maurice Levêque de Vilmorin	BOT	Auguste Louis Maurice Levêque de Vilmorin
Auguste Martin	BOT	Auguste Martin
Auguste Miellez	BOT	Auguste Miellez
Auguste Miergues	BOT	Auguste Miergues
Auguste Monnier	BOT	Auguste Monnier
Auguste Morren	BOT	Auguste Morren
Auguste Pailleux	BOT	Auguste Pailleux
Auguste Pettit	BOT	Auguste Pettit
Auguste Reichardt	BOT	Auguste Reichardt
Auguste Rivière	BOT	Auguste Rivière
Auguste Théodore Sartory	BOT	Auguste Théodore Sartory
Auguste Étallon	BOT	Auguste Étallon
Auguste-Henri de Coincy	BOT	Auguste-Henri de Coincy
Augustijn De Ketelaere	ZOO	Augustijn De Ketelaere	De Ketelaere
Augustin Friedrich Walther	BOT	Augustin Friedrich Walther
Augustin Ley (Reverend)	BOT	Augustin Ley (Reverend)
Augustin Lombard	BOT	Augustin Lombard
Augustin Louis Pierre Huet	BOT	Augustin Louis Pierre Huet
Augustin Noel Aristide Dupuis	BOT	Augustin Noel Aristide Dupuis
Augustin Sageret	BOT	Augustin Sageret
Augustine Charles Chikuni	BOT	Augustine Charles Chikuni
Augustine Dawson Selby	BOT	Augustine Dawson Selby
Augusto Aldave Pajares	BOT	Augusto Aldave Pajares
Augusto Burle Gomes Ferreira	BOT	Augusto Burle Gomes Ferreira
Augusto Capriotti	BOT	Augusto Capriotti
Augusto Chaves Batista	BOT	Augusto Chaves Batista
Augusto Comas	BOT	Augusto Comas
Augusto Francener	BOT	Augusto Francener
Augusto Giaretta	BOT	Augusto Giaretta
Augusto L. Ayroza Galvão	BOT	Augusto L. Ayroza Galvão
Augusto Napoleone Berlese	BOT	Augusto Napoleone Berlese
Augusto Nobre	BOT	Augusto Nobre
Augusto Ramírez Espindola	BOT	Augusto Ramírez Espindola
Augusto Ruschi	BOT	Augusto Ruschi
Augusto Schrank	BOT	Augusto Schrank
Augusto Siri	BOT	Augusto Siri
Augusto Teixeira de Vasconcelos	BOT	Augusto Teixeira de Vasconcelos
Augusto Trinchinetti	BOT	Augusto Trinchinetti
Augustus Addison Gould	ZOO	Augustus Addison Gould
Augustus Daniel Imms	BOT	Augustus Daniel Imms
Augustus Frederick Oldfield	BOT	Augustus Frederick Oldfield
Augustus R. Endrés	BOT	Augustus R. Endrés
Augustus Radcliffe Grote	ZOO	Augustus Radcliffe Grote	Grote
Augustus Simson	BOT	Augustus Simson
Augustín Murín	BOT	Augustín Murín
Aukusti Juhana Mela	BOT	Aukusti Juhana Mela
Aune Kyllikki Koponen	BOT	Aune Kyllikki Koponen
Aung Swe	BOT	Aung Swe
Aurel Dermek	BOT	Aurel Dermek
Aurel Procopianu-Procopovici	BOT	Aurel Procopianu-Procopovici
Aurelia Crișan	BOT	Aurelia Crișan
Aurelia Paz	BOT	Aurelia Paz
Aurelio Acevedo-Rodríguez	BOT	Aurelio Acevedo-Rodríguez
Aurelio Castillo	BOT	Aurelio Castillo
Aurelio Ciancio	BOT	Aurelio Ciancio
Aurelio García Blanco	BOT	Aurelio García Blanco
Aurelio J. Pozzi	ZOO	Aurelio J. Pozzi	Pozzi
Aurelio Manzi	BOT	Aurelio Manzi
Aurelio Peña-Rivera	BOT	Aurelio Peña-Rivera
Aurelio Ramírez-Bautista	ZOO	Aurelio Ramírez-Bautista	Ramírez-Bautista
Aurelio Schinini	BOT	Aurelio Schinini
Aurelius Ant. Thaler	BOT	Aurelius Ant. Thaler
Aurora Chirinos Pizarro	ZOO	Aurora Chirinos Pizarro	Pizarro
Aurora Marrón-Becerra	ZOO	Aurora Marrón-Becerra	Marrón-Becerra
Aurora Montemartini Corte	BOT	Aurora Montemartini Corte
Aurora Saucedo-García	BOT	Aurora Saucedo-García
Aurèle Graber	BOT	Aurèle Graber
Aurélie Grall	BOT	Aurélie Grall
Aurélien Sambin	BOT	Aurélien Sambin
Aurélio Periera da Silva Quintanilha	BOT	Aurélio Periera da Silva Quintanilha
Ausana Mapook	BOT	Ausana Mapook
Austin Craig Apgar	BOT	Austin Craig Apgar
Austin G. Hagwood	BOT	Austin G. Hagwood
Austin Hobart Clark	ZOO	Austin Hobart Clark	A.H. Clark
Austin J. Brown	BOT	Austin J. Brown
Austin Mast	BOT	Austin Mast
Austin Roberts	ZOO	Austin Roberts
Austin Westman William Sand	BOT	Austin Westman William Sand
Aušra Treigienė	BOT	Aušra Treigienė
Avaldo de Oliveira Soares Filho	BOT	Avaldo de Oliveira Soares Filho
Ave Suija	BOT	Ave Suija
Aveliano Fernández	BOT	Aveliano Fernández
Avelinah Julius	BOT	Avelinah Julius
Avelino Barrio	ZOO	Avelino Barrio
Averil Maud Bottomley	BOT	Averil Maud Bottomley
Avi Johannes Huuskonen	BOT	Avi Johannes Huuskonen
Avi Shmida	BOT	Avi Shmida
Avinash Asraji Adsul	BOT	Avinash Asraji Adsul
Avinash Ch. Nautiyal	BOT	Avinash Ch. Nautiyal
Avishek Bhattacharjee	BOT	Avishek Bhattacharjee
Aviva Uziel	BOT	Aviva Uziel
Avneet Pal Singh	BOT	Avneet Pal Singh
Avni Öztürk	BOT	Avni Öztürk
Avraham	BOT	Fahn	Avraham
Avraham Fahn	BOT	Avraham Fahn
Awit Suwito	ZOO	Awit Suwito	Suwito
Axel Adolph Olsson	ZOO	Axel Adolph Olsson	Olsson
Axel Albert Lindström	BOT	Axel Albert Lindström
Axel Alfred Magnusson	BOT	Axel Alfred Magnusson
Axel Brinck	BOT	Axel Brinck
Axel Dalberg Poulsen	BOT	Axel Dalberg Poulsen
Axel H. Arriola	BOT	Axel H. Arriola
Axel Hausmann	ZOO	Axel Hausmann	Hausmann
Axel Henrik Edvard Filip von Krusenstjerna	BOT	Axel Henrik Edvard Filip von Krusenstjerna
Axel Hille	ZOO	Axel Hille	Hille
Axel Hochkirch	ZOO	Axel Hochkirch	Hochkirch
Axel Kallies	ZOO	Axel Kallies	Kallies
Axel Lange	BOT	Axel Lange
Axel Leonard Melander	ZOO	Axel Leonard Melander	Melander
Axel Lund	BOT	Axel Lund
Axel Møller Mørch	BOT	Axel Møller Mørch
Axel N. Lundström	BOT	Axel N. Lundström
Axel Neumann	BOT	Axel Neumann
Axel Nygren	BOT	Axel Nygren
Axel Petrus Ulander	BOT	Axel Petrus Ulander
Axel Preyer	BOT	Axel Preyer
Axel Robertson-Proschowsky	BOT	Axel Robertson-Proschowsky
Axel Rodolpho Santiago	BOT	Axel Rodolpho Santiago
Axel Scholz	ZOO	Axel Scholz	Scholz
Axel Ssymank	ZOO	Axel Ssymank	Ssymank
Axel Torssander	BOT	Axel Torssander
Axel Zarske	ZOO	Axel Zarske	Zarske
Axel-Günther Helm	BOT	Axel-Günther Helm
Aya Nitta	BOT	Aya Nitta
Ayako Sano	BOT	Ayako Sano
Ayako Someya	BOT	Ayako Someya
Ayami Shiraishi	BOT	Ayami Shiraishi
Aycan Tosunoğlu	BOT	Aycan Tosunoğlu
Ayda Patiño	BOT	Ayda Patiño
Aydil Grave de Andrade	BOT	Aydil Grave de Andrade
Aydın Örstan	ZOO	Aydın Örstan	Örstan
Aye Thin Mu	BOT	Aye Thin Mu
Ayelet Shimoni	BOT	Ayelet Shimoni
Ayesha Farooqi	BOT	Ayesha Farooqi
Ayesha Siddique	BOT	Ayesha Siddique
Ayhan Şenkardeşler	BOT	Ayhan Şenkardeşler
Aylin Sökücü	BOT	Aylin Sökücü
Aylthon Brandão Joly	BOT	Aylthon Brandão Joly
Aymar da Silva Santos	BOT	Aymar da Silva Santos
Aymeric de Barmon	BOT	Aymeric de Barmon
Aymeric Roccia	BOT	Aymeric Roccia
Aymée González Estévez	BOT	Aymée González Estévez
Ayodhya Prasad Misra	BOT	Ayodhya Prasad Misra
Ayten Tekpınar	BOT	Ayten Tekpınar
Ayumi Sakata	BOT	Ayumi Sakata
Ayşe Erden	BOT	Ayşe Erden
Ayşen Özdemir Türk	BOT	Ayşen Özdemir Türk
Ayşen Özçandır	BOT	Ayşen Özçandır
Ayşenur Kalmer İpek	BOT	Ayşenur Kalmer İpek
Azad Rastegar	BOT	Azad Rastegar
Azadeh Akhavan	BOT	Azadeh Akhavan
Azarnoosh Jafari	BOT	Azarnoosh Jafari
Azhamchalil Moonnambeth Neelima	BOT	Azhamchalil Moonnambeth Neelima
Azize Demirpolat	BOT	Azize Demirpolat
Azmatullah Khan	BOT	Azmatullah Khan
Azusa Higashi	BOT	Azusa Higashi
Azza A. Al-Musallam	BOT	Azza A. Al-Musallam
Azza Mohamed Hosny El Hadidy	BOT	Azza Mohamed Hosny El Hadidy
Aída Marcela Vasco-Palacios	BOT	Aída Marcela Vasco-Palacios
Aída Pontiroli	BOT	Aída Pontiroli
Aïcha Ouyahya	BOT	Aïcha Ouyahya
B A E Koehne	BOT	Koehne	Bernhard Adalbert Emil Koehne
B A Euphrasén	BOT	Euphrasén	Bengt Anders Euphrasén	Euphrasen
B A Fedtschenko	BOT	B.Fedtsch.	Boris Alexjewitsch Fedtschenko
B A Gomes	BOT	Gomes	Bernardino António Gomes
B B Kanouse	BOT	Kanouse	Bessie Bernice Kanouse
B B Pramanik	BOT	Pramanik	B. B. Pramanik	B.B. Pramanik
B B Smyth	BOT	Smyth	Bernard Bryan Smyth
B Balansa	BOT	Balansa	Benedict Balansa
B Bartalini	BOT	Bartal.	Biagio Bartalini
B Baumann	BOT	B.Baumann	Brigitte Baumann
B Bentzer	BOT	Bentzer	Bengt Bentzer
B Bremer	BOT	B.Bremer	Birgitta Bremer
B Błocki	BOT	Błocki	Bronislaw Błocki	Bronisław Błocki
B C J Dumortier	BOT	Dumort.	Barthélemy Charles Joseph Dumortier
B C Seemann	BOT	Seem.	Berthold Carl Seemann
B C Stone	BOT	B.C.Stone	Benjamin Clemens Stone
B Cabezudo	BOT	Cabezudo	Baltasar Cabezudo
B Carrington	BOT	Carrington	Benjamin Carrington
B Clarke	BOT	Clarke	Benjamin Clarke
B Clément	BOT	B.Clément	B. Clément
B Crampton	BOT	Crampton	Beecher Crampton
B D Burtt	BOT	Burtt	Bernard Dearman Burtt
B D Greene	BOT	B.D.Greene	Benjamin Daniel Greene
B D Jackson	BOT	B.D.Jacks.	Benjamin Daydon Jackson
B da Ucria	BOT	Ucria	Bernardino da Ucria
B de Jussieu	BOT	B.Juss.	Bernard de Jussieu
B de Winter	ANY	De Winter	Bernard de Winter	Anton J. de Winter	de Winter
B Dien	BOT	Dien	B.S. Dien
B E E Duyfjes	BOT	Duyfjes	Brigitta Emma Elisabeth Duyfjes
B E G M Allen	BOT	B.M.Allen	Betty Eleanor Gosset Molesworth Allen
B Egli	BOT	Egli	Bernhard Egli
B F Bush	BOT	Bush	Benjamin Franklin Bush
B F Dana	BOT	B.F.Dana	Bliss F. Dana
B F Hansen	BOT	B.F.Hansen	Bruce Frederick Hansen
B F Holmgren	BOT	B.F.Holmgren	Björn Frithiofsson Holmgren
B F Mathew	BOT	B.Mathew	Brian Frederick Mathew
B Field	BOT	B.Field	Barron Field
B G Bell	BOT	B.G.Bell	Bruce Graham Bell
B G Briggs	BOT	B.G.Briggs	Barbara Gillian Briggs
B G O Floderus	BOT	Flod.	Björn Gustaf Oscar Floderus
B G Schubert	BOT	B.G.Schub.	Bernice Giduz Schubert
B Geng	BOT	B.Y.Geng	Bao-Yin Geng	Bao Yin Geng
B H Allen	BOT	B.H.Allen	Bruce H. Allen
B H Buxton	BOT	B.H.Buxton	Bertram Henry Buxton
B H Clapperton	BOT	Clapperton	Bain Hugh Clapperton
B H Danser	BOT	Danser	Benedictus Hubertus Danser
B H Long	BOT	B.H.Long	Bayard Henry Long
B H Slavin	BOT	Slavin	Bernard Henry Slavin
B H Warnock	BOT	Warnock	Barton Holland Warnock
B H Wilcox	BOT	B.H.Wilcox	Balafama Helen Wilcox
B Hacquet	BOT	Hacq.	Belsazar Hacquet
B Hansen	BOT	B.Hansen	Bertel Hansen
B Hayata	BOT	Hayata	Bunzō Hayata
B Heyne	BOT	B.Heyne	Benjamin Heyne
B Husz	BOT	Husz	Béla Husz
B J C Schnack	BOT	Schnack	Benno Julio Christian Schnack
B J Cholnoky	BOT	Cholnoky	Béla Jenö Cholnoky	Béla Jenő Cholnoky
B J Crandall-Stotler	BOT	Crand.-Stotl.	Barbara Jean Crandall-Stotler
B J D Meeuse	BOT	B.Meeuse	Bastiaan Jacob Dirk Meeuse
B J Jacobsen	BOT	B.J.Jacobsen	Barry J. Jacobsen
B J Wallace	BOT	B.J.Wallace	Benjamin John Wallace
B Jílek	BOT	Jílek	Bohumil Jílek
B K Boom	BOT	Boom	Boudewijn Karel Boom
B K Schischkin	BOT	Schischk.	Boris Konstantinovich Schischkin
B K Simon	BOT	B.K.Simon	Bryan Kenneth Simon
B L Andersson	BOT	L.Andersson	Bengt Lennart Andersson
B L Clark	BOT	B.L.Clark	Bonnie Lynne Clark
B L Robinson	BOT	B.L.Rob.	Benjamin Lincoln Robinson
B L T Sr.	BOT	B.L.Turner	Billie Lee Turner Sr.
B Li	BOT	Bo Li
B M Bartholomew	BOT	B.M.Barthol.	Bruce Monroe Bartholomew
B M Davis	BOT	B.M.Davis	Bradley Moore Davis
B M Duggar	BOT	Duggar	Benjamin Minge Duggar
B M J Lutz	BOT	Lutz	Berta Maria Júlia Lutz
B M Wadhwa	BOT	Wadhwa	Brij Mohan Wadhwa
B Maguire	BOT	Maguire	Bassett Maguire
B Maranta	BOT	Maranta	Bartolomeo Maranta
B Marcks	BOT	Marcks	Brian Marcks
B Martin	BOT	B.-A.Martin	Bernardin-Antoine Martin
B Maund	BOT	Maund	Benjamin Maund
B Meyer-Berthaud	BOT	Mey.-Berth.	Brigitte Meyer-Berthaud
B O Dodge	BOT	B.O.Dodge	Bernard Ogilvie Dodge
B O Longyear	BOT	Longyear	Burton Orange Longyear
B P G Hochreutiner	BOT	Hochr.	Bénédict Pierre Georges Hochreutiner
B P Gloxin	BOT	Gloxin	Benjamin Peter Gloxin
B P M Hyland	BOT	B.Hyland	Bernard Patrick Matthew Hyland
B P P de Lapeyrouse	BOT	Lapeyr.	Baron Philippe-Isidore Picot de Lapeyrouse
B Pawłowski	BOT	Pawł.	Bogumił Pawłowski
B Pickersgill	BOT	Pickersgill	Barbara Pickersgill
B R Arrillaga	BOT	B.R.Arrill.	Blanca Renée Arrillaga
B R Keener	BOT	B.R.Keener	Brian Reid Keener
B R Ramesh	BOT	B.R.Ramesh	B. R. Ramesh	B.R. Ramesh
B Renault	BOT	Renault	Bernard Renault
B Rice	BOT	B.Rice	Barry Rice
B Roezl	BOT	Roezl	Benedikt Roezl
B Romans	BOT	Romans	Bernard Romans
B Rosengurtt	BOT	Roseng.	Bernardo Rosengurtt
B S Barton	BOT	Barton	Benjamin Smith Barton
B S Crandall	BOT	Crand.	Bowen Sinclair Crandall
B S Kurlovich	BOT	Kurl.	Boguslav Stanislavovich Kurlovich
B S Williams	BOT	B.S.Williams	Benjamin Samuel Williams
B Sahni	BOT	Sahni	Birbal Sahni
B Schenk	BOT	B.Schenk	Bernhard Schenk
B Scortechini	BOT	Scort.	Benedetto Scortechini
B Shimek	BOT	Shimek	Bohumil Shimek
B Shultz	BOT	Shultz	Benjamin Shultz
B Silliman	BOT	Silliman	Benjamin Silliman
B Stein	BOT	Stein	Berthold Stein
B Stillingfleet	BOT	Still.	Benjamin Stillingfleet
B T Goadby	BOT	Goadby	Bede Theodoric Goadby
B T Palm	BOT	Palm	Björn Torvald Palm
B Verdcourt	BOT	Verdc.	Bernard Verdcourt
B W Phillips	BOT	B.W.Phillips	Barry W. Phillips
B W van Ee	BOT	B.W.van Ee	Benjamin William van Ee
B W Wells	BOT	Wells	Bertram Whittier Wells
B Wallnöfer	BOT	B.Walln.	Bruno Wallnöfer
B Waterhouse	BOT	Waterh.	Benjamin Waterhouse
B Whittier	BOT	B.Whittier	Barbara Whittier
B Zonneveld	BOT	Zonn.	Ben Zonneveld
B. A. Sharipova	BOT	B. A. Sharipova
B. Ali	BOT	B. Ali
B. Aloj	BOT	B. Aloj
B. Baldev	BOT	B. Baldev
B. Barsakoff	BOT	B. Barsakoff
B. Bartlett	BOT	B. Bartlett
B. Bartolini	BOT	B. Bartolini
B. Braun	BOT	B. Braun
B. Briede	BOT	B. Briede
B. Burrow	BOT	B. Burrow
B. Burwell	BOT	B. Burwell
B. Busch	BOT	B. Busch
B. C. Lodha	BOT	B. C. Lodha
B. Caron	ANY	B. Caron
B. Chall.	BOT	B. Chall.
B. Chapman	BOT	B. Chapman
B. Chinnappa	BOT	B. Chinnappa
B. Choubert	BOT	B. Choubert
B. Claessens	BOT	B. Claessens
B. Cleal	BOT	B. Cleal
B. Cochand-Priollet	BOT	B. Cochand-Priollet
B. Czerni	BOT	B. Czerni
B. D. Gossen	BOT	B. D. Gossen
B. Decaris	BOT	B. Decaris
B. Della Torre	BOT	B. Della Torre
B. Dennetière	BOT	B. Dennetière
B. Divya	BOT	B. Divya
B. Donovan	BOT	B. Donovan
B. Dorn	BOT	B. Dorn
B. Douglas	BOT	B. Douglas
B. Etman	BOT	B. Etman
B. Eugene Wofford	BOT	B. Eugene Wofford
B. Fathima	BOT	B. Fathima
B. Feldman-Muhsam	BOT	B. Feldman-Muhsam
B. Fenwick	BOT	B. Fenwick
B. Fischer	BOT	B. Fischer
B. Francis Kukachka	BOT	B. Francis Kukachka
B. G. Patil Kulkarni	BOT	B. G. Patil Kulkarni
B. Gastaldi	BOT	B. Gastaldi
B. Ginetti	BOT	B. Ginetti
B. Griesser	BOT	B. Griesser
B. H. Danser	BOT	B. H. Danser
B. Haller	BOT	B. Haller
B. Heinze	BOT	B. Heinze
B. Hershenov	BOT	B. Hershenov
B. Holmes	BOT	B. Holmes
B. Horvers	BOT	B. Horvers
B. Huang	BOT	B. Huang
B. Hunt	BOT	B. Hunt
B. Irlet	BOT	B. Irlet
B. J. de Villiers	BOT	B. J. de Villiers
B. J. Seckel	BOT	B. J. Seckel
B. James	BOT	B. James
B. Jiménez	BOT	B. Jiménez
B. Juan Chahinian	BOT	B. Juan Chahinian
B. Juminer	BOT	B. Juminer
B. K. Tikader	ZOO	B. K. Tikader	Tikader
B. Karthik	BOT	B. Karthik
B. Keskin	BOT	B. Keskin
B. Kharukanant	BOT	B. Kharukanant
B. Kill	BOT	B. Kill
B. Kirchner	BOT	B. Kirchner
B. Koudela	BOT	B. Koudela
B. Koçak	BOT	B. Koçak
B. L. Chaudhuri	ZOO	B. L. Chaudhuri	Chaudhuri
B. Lal	BOT	B. Lal
B. Lie	BOT	B. Lie
B. Lin	BOT	B. Lin
B. Linaldeddu	BOT	B. Linaldeddu
B. Lorenz	BOT	B. Lorenz
B. Machatschki-Laurich	BOT	B. Machatschki-Laurich
B. Maheswaran	BOT	B. Maheswaran
B. Malkmus-Hussein	BOT	B. Malkmus-Hussein
B. Malo	BOT	B. Malo
B. Manjula	BOT	B. Manjula
B. Manna	BOT	B. Manna
B. Marchand	BOT	B. Marchand
B. Marcos Laso	BOT	B. Marcos Laso
B. Mies	BOT	B. Mies
B. Moeliono	BOT	B. Moeliono
B. Moser	BOT	B. Moser
B. Neusser	BOT	B. Neusser
B. Okamura	BOT	B. Okamura
B. Padhi	BOT	B. Padhi
B. Palamedi	BOT	B. Palamedi
B. Paturson	BOT	B. Paturson
B. Pierini	BOT	B. Pierini
B. Prasad	BOT	B. Prasad
B. R. Dayaker Yadav	BOT	B. R. Dayaker Yadav
B. Rajeevan	BOT	B. Rajeevan
B. Rajeshwari Dayal	BOT	B. Rajeshwari Dayal
B. Ramamurthi	BOT	B. Ramamurthi
B. Rao	BOT	B. Rao
B. Reichgelt	BOT	B. Reichgelt
B. Renuka Rao	BOT	B. Renuka Rao
B. Ristanovič	BOT	B. Ristanovič
B. Rodríguez	BOT	B. Rodríguez
B. Sastre	BOT	B. Sastre
B. Savoure	BOT	B. Savoure
B. Sayers	BOT	B. Sayers
B. Schmid	BOT	B. Schmid
B. Schuchardt	BOT	B. Schuchardt
B. Schwarz	BOT	B. Schwarz
B. Simka	BOT	B. Simka
B. Singh	BOT	B. Singh
B. Sneh	BOT	B. Sneh
B. Sokoloff	BOT	B. Sokoloff
B. Sonsupab	BOT	B. Sonsupab
B. Sreedevi	BOT	B. Sreedevi
B. Stefanova-Gateva	BOT	B. Stefanova-Gateva
B. Striebich	BOT	B. Striebich
B. Subramanian	BOT	B. Subramanian
B. Sun	BOT	B. Sun
B. Szakien	BOT	B. Szakien
B. Szegő	BOT	B. Szegő
B. Tahiri	BOT	B. Tahiri
B. Taylor	BOT	B. Taylor
B. Tenschert	BOT	B. Tenschert
B. Tiagi	BOT	B. Tiagi
B. Tivoli	BOT	B. Tivoli
B. Tratnik	BOT	B. Tratnik
B. Tyteca	BOT	B. Tyteca
B. Varitchak	BOT	B. Varitchak
B. Vimala Bai	BOT	B. Vimala Bai
B. Volschenk	BOT	B. Volschenk
B. Wrońska	BOT	B. Wrońska
B. Zenitani	BOT	B. Zenitani
B. Zlatković	BOT	B. Zlatković
B.A. Borisov	BOT	B.A. Borisov
B.A. Cox	BOT	B.A. Cox
B.A. Fasihuddin	BOT	B.A. Fasihuddin
B.A. Gustafson	BOT	B.A. Gustafson
B.A. Khasanov	BOT	B.A. Khasanov
B.A. LePage	BOT	B.A. LePage
B.A. Mischkin	BOT	B.A. Mischkin
B.A. Refaat	BOT	B.A. Refaat
B.A. Shukhobodsky	BOT	B.A. Shukhobodsky
B.A. Trusov	BOT	B.A. Trusov
B.A. Ullasa	BOT	B.A. Ullasa
B.A.K. Satyanarayana	BOT	B.A.K. Satyanarayana
B.Appala Naidu	BOT	B.Appala Naidu
B.B. Berdyev	BOT	B.B. Berdyev
B.B. Given	BOT	B.B. Given
B.B. Namzalov	BOT	B.B. Namzalov
B.B. Semenov	BOT	B.B. Semenov
B.B. Singh	BOT	B.B. Singh
B.C. Korlahalli	BOT	B.C. Korlahalli
B.C. Kukreti	BOT	B.C. Kukreti
B.C. Patil	BOT	B.C. Patil
B.C. Rankine	BOT	B.C. Rankine
B.C. Sharma	BOT	B.C. Sharma
B.C.L. Sah	BOT	B.C.L. Sah
B.D. Cullinger	BOT	B.D. Cullinger
B.D. De Quatre	BOT	B.D. De Quatre
B.D. Dequatre	BOT	B.D. Dequatre
B.D. Gavrilenko	BOT	B.D. Gavrilenko
B.D. Joshi	BOT	B.D. Joshi
B.D. Kundalkar	BOT	B.D. Kundalkar
B.D. Sanwal	BOT	B.D. Sanwal
B.D. Thyr	BOT	B.D. Thyr
B.Davidine Pullinger	BOT	B.Davidine Pullinger
B.de Jekhowsky	BOT	B.de Jekhowsky
B.de Lengyel	BOT	B.de Lengyel
B.de Martis	BOT	B.de Martis
B.E. Giles	BOT	B.E. Giles
B.E. Herber	BOT	B.E. Herber
B.E. Söderström	BOT	B.E. Söderström
B.E. Young	BOT	B.E. Young
B.F. Husseinova	BOT	B.F. Husseinova
B.F. Kaschmensky	BOT	B.F. Kaschmensky
B.F. Matthews	BOT	B.F. Matthews
B.F. Rodrigues	BOT	B.F. Rodrigues
B.F. Weilbacher	BOT	B.F. Weilbacher
B.F. Yangari	BOT	B.F. Yangari
B.G. de Vries	BOT	B.G. de Vries
B.G. Desai	BOT	B.G. Desai
B.G. Dutta	BOT	B.G. Dutta
B.G. Gavade	BOT	B.G. Gavade
B.G. Rokade	BOT	B.G. Rokade
B.G. Rokde	BOT	B.G. Rokde
B.G. Tattersall	BOT	B.G. Tattersall
B.I. Chuvaschov	BOT	B.I. Chuvaschov
B.I. Schczedrova	BOT	B.I. Schczedrova
B.I. Setchkarev	BOT	B.I. Setchkarev
B.I. Shuvashov	BOT	B.I. Shuvashov
B.J. Deppenaar	BOT	B.J. Deppenaar
B.J. McAfee	BOT	B.J. McAfee
B.J. Murray	BOT	B.J. Murray
B.J. Trask	BOT	B.J. Trask
B.J. Wilson	BOT	B.J. Wilson
B.J.S. Lee	BOT	B.J.S. Lee
B.K. Chattopadhayay	BOT	B.K. Chattopadhayay
B.K. Das	BOT	B.K. Das
B.K. Dikshit	BOT	B.K. Dikshit
B.K. Giri	BOT	B.K. Giri
B.K. Kalymbetov	BOT	B.K. Kalymbetov
B.K. Rai	BOT	B.K. Rai
B.K. Vaidehi	BOT	B.K. Vaidehi
B.K.Vijay Kumar	BOT	B.K.Vijay Kumar	B.K. Vijay Kumar
B.L. Comeaux	BOT	B.L. Comeaux
B.L. Gupta	BOT	B.L. Gupta
B.L. Jain	BOT	B.L. Jain
B.L. Mathur	BOT	B.L. Mathur
B.L. Nyananyo	BOT	B.L. Nyananyo
B.L. Peyre	BOT	B.L. Peyre
B.L. Renfro	BOT	B.L. Renfro
B.L. Sapru	BOT	B.L. Sapru
B.L. Thompson	BOT	B.L. Thompson
B.L. Verma	BOT	B.L. Verma
B.L. Vyas	BOT	B.L. Vyas
B.L.van der Linden	BOT	B.L.van der Linden
B.M. Das Gupta	BOT	B.M. Das Gupta
B.M. Khanna	BOT	B.M. Khanna
B.M. Komarov	BOT	B.M. Komarov
B.M. McKeown	BOT	B.M. McKeown
B.M. Misra	BOT	B.M. Misra
B.M. Narayana	BOT	B.M. Narayana
B.M. Sarwal	BOT	B.M. Sarwal
B.M. Sharma	BOT	B.M. Sharma
B.M. Sundaram	BOT	B.M. Sundaram
B.M. Zefirov	BOT	B.M. Zefirov
B.M.B. Sinha	BOT	B.M.B. Sinha
B.N. Mathur	BOT	B.N. Mathur
B.N. Muthappa	BOT	B.N. Muthappa
B.N. Ndimande	BOT	B.N. Ndimande
B.N. Ogarkov	BOT	B.N. Ogarkov
B.N. Pandey	BOT	B.N. Pandey
B.N. Panja	BOT	B.N. Panja
B.N. Singh	BOT	B.N. Singh
B.N. Starling	BOT	B.N. Starling
B.N. Verma	BOT	B.N. Verma
B.N. Zamyatnin	BOT	B.N. Zamyatnin
