id	wikidata	ipni	zoobank	formerIds	family	given	suffix	born	died	activeFrom	activeTo	groups	source
ipni:20046405-1		20046405-1			Kosky	William				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046406-1		20046406-1			Hoffmann	Franz J.		1945				Angiosperms|Gymnosperms	ipni
ipni:20046407-1		20046407-1			Müller-Praust	R.				1887	1887	Angiosperms|Gymnosperms	ipni
ipni:20046408-1		20046408-1			Sánchez-Villegas	Manuel				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046409-1		20046409-1			Hartmann	Fritz		1882	1909			Algae	ipni
ipni:20046410-1		20046410-1			Keller	Gerhard		1903	1981				ipni
ipni:20046411-1		20046411-1			Anić	Dragutin		1898	1961				ipni
ipni:20046412-1		20046412-1			Ogilvie Gordon	Maria May		1864	1939				ipni
ipni:20046413-1		20046413-1			Rodriguez	Jose Ignacio				1988	1988	Angiosperms|Gymnosperms	ipni
ipni:20046414-1		20046414-1			Alfonso Alfonso	Ovelio				1988	1988	Angiosperms|Gymnosperms	ipni
ipni:20046415-1		20046415-1			Summerson	Charles Henry		1914	2008			Algae	ipni
ipni:20046416-1		20046416-1			Zakharova	Tatiana Viktorovna		1955					ipni
ipni:20046417-1		20046417-1			Brokaw	Arnold Lesli		1911	1990				ipni
ipni:20046418-1		20046418-1			Schneider	Wilfrid		1938	2020				ipni
ipni:20046419-1		20046419-1			Vera Bahima	J.				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046422-1		20046422-1			Volkheimer	Wolfgang		1928	2018				ipni
ipni:20046424-1		20046424-1			Barss	Murray Sedley		1930					ipni
ipni:20046426-1		20046426-1			Korshunov	Mikhail V.				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046427-1		20046427-1			Holden	Ruth		1890	1917				ipni
ipni:20046430-1		20046430-1			Salamah	Ahmad				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046431-1		20046431-1			Razelan	Mohd Shah				2021	2021	Angiosperms|Gymnosperms	ipni
ipni:20046432-1		20046432-1			Luber	Aglaida Andreevna		1900	1980				ipni
ipni:20046433-1		20046433-1			Bassoullet	Jean-Paul		1936	2020				ipni
ipni:20046435-1		20046435-1			Deloffre	Raoul		1931	2018			Algae	ipni
ipni:20046436-1		20046436-1			Essokne	Rafaa S.				2018	2018	Angiosperms|Gymnosperms	ipni
ipni:20046437-1		20046437-1			Racki	Grzegorz		1952				Algae	ipni
ipni:20046438-1		20046438-1			Racka	Maria		1953				Algae	ipni
ipni:20046439-1		20046439-1			Waltz	Irma Ernestovna		1907	1989				ipni
ipni:20046440-1		20046440-1			Uemura	Kazuhiko		1947					ipni
ipni:20046442-1		20046442-1			Khristi	Sunil M.				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046443-1		20046443-1			Mishra	Shakun				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046444-1		20046444-1			Anjana	Surendran				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046445-1		20046445-1			Chandra Prabha	Ayyathurai				2020	2020	Angiosperms|Gymnosperms	ipni
ipni:20046446-1		20046446-1			Simoncsics	Pál		1918	2002				ipni
ipni:20046447-1		20046447-1			Jaramillo	Carlos Alberto		1969				Angiosperms|Gymnosperms	ipni
