person	relation	other	source
wd:Q21338331	PARENT	wd:Q21339125	wikidata
wd:Q21338587	SIBLING	wd:Q5372895	wikidata
wd:Q21338758	PARENT	wd:Q3121094	wikidata
wd:Q21338865	PARENT	wd:Q549054	wikidata
wd:Q21339036	SIBLING	wd:Q4354691	wikidata
wd:Q21339115	PARENT	wd:Q21522188	wikidata
wd:Q21339396	PARENT	wd:Q21607381	wikidata
wd:Q21339472	PARENT	wd:Q2838810	wikidata
wd:Q21340676	PARENT	wd:Q21340680	wikidata
wd:Q21341635	PARENT	wd:Q21339393	wikidata
wd:Q21341655	PARENT	wd:Q989643	wikidata
wd:Q21341899	SIBLING	wd:Q2415371	wikidata
wd:Q21341923	PARENT	wd:Q21522621	wikidata
wd:Q21342024	PARENT	wd:Q36632188	wikidata
wd:Q21388479	PARENT	wd:Q9116345	wikidata
wd:Q21388570	SIBLING	wd:Q86785	wikidata
wd:Q21390773	SIBLING	wd:Q21522801	wikidata
wd:Q21390810	PARENT	wd:Q18985811	wikidata
wd:Q21391147	PARENT	wd:Q1233369	wikidata
wd:Q21391171	PARENT	wd:Q290343	wikidata
wd:Q21391508	PARENT	wd:Q21392312	wikidata
wd:Q21391750	PARENT	wd:Q2067641	wikidata
wd:Q21393026	PARENT	wd:Q662338	wikidata
wd:Q21393355	SIBLING	wd:Q4100323	wikidata
wd:Q21393385	SIBLING	wd:Q21393390	wikidata
wd:Q21394007	PARENT	wd:Q21533963	wikidata
wd:Q21394699	PARENT	wd:Q21338356	wikidata
wd:Q21394828	SIBLING	wd:Q2823057	wikidata
wd:Q21503698	PARENT	wd:Q21392512	wikidata
wd:Q21505728	PARENT	wd:Q21505727	wikidata
wd:Q21505936	PARENT	wd:Q21339819	wikidata
wd:Q21506032	PARENT	wd:Q91376	wikidata
wd:Q21506444	SIBLING	wd:Q445147	wikidata
wd:Q21506691	PARENT	wd:Q4084920	wikidata
wd:Q21506748	PARENT	wd:Q21506744	wikidata
wd:Q21509049	PARENT	wd:Q2618977	wikidata
wd:Q21509507	PARENT	wd:Q5264740	wikidata
wd:Q21510898	SIBLING	wd:Q6215799	wikidata
wd:Q21511020	PARENT	wd:Q79117	wikidata
wd:Q21511306	PARENT	wd:Q474250	wikidata
wd:Q21512721	SIBLING	wd:Q5894527	wikidata
wd:Q21513421	PARENT	wd:Q5868731	wikidata
wd:Q21513543	PARENT	wd:Q5862534	wikidata
wd:Q21513543	SIBLING	wd:Q5744270	wikidata
wd:Q21513545	PARENT	wd:Q15405	wikidata
wd:Q21513545	SIBLING	wd:Q5862534	wikidata
wd:Q21513683	PARENT	wd:Q23570314	wikidata
wd:Q21514188	PARENT	wd:Q67753	wikidata
wd:Q21514487	SIBLING	wd:Q91918	wikidata
wd:Q21515523	PARENT	wd:Q21515516	wikidata
wd:Q21515878	PARENT	wd:Q64983	wikidata
wd:Q21515878	SIBLING	wd:Q6167453	wikidata
wd:Q21515878	SIBLING	wd:Q64294	wikidata
wd:Q21516010	PARENT	wd:Q5933045	wikidata
wd:Q21516085	PARENT	wd:Q968961	wikidata
wd:Q21516419	PARENT	wd:Q8020208	wikidata
wd:Q21517439	PARENT	wd:Q78746	wikidata
wd:Q21517730	SIBLING	wd:Q21517731	wikidata
wd:Q21517767	PARENT	wd:Q21517813	wikidata
wd:Q21517931	PARENT	wd:Q21517929	wikidata
wd:Q21518238	PARENT	wd:Q21339879	wikidata
wd:Q21519411	PARENT	wd:Q1601867	wikidata
wd:Q21519411	PARENT	wd:Q2645696	wikidata
wd:Q21519740	PARENT	wd:Q3181981	wikidata
wd:Q21520308	PARENT	wd:Q77464	wikidata
wd:Q21521797	PARENT	wd:Q1143078	wikidata
wd:Q21522206	SIBLING	wd:Q5366636	wikidata
wd:Q21523018	PARENT	wd:Q311594	wikidata
wd:Q21523044	PARENT	wd:Q1387276	wikidata
wd:Q21523136	PARENT	wd:Q2654973	wikidata
wd:Q21582292	PARENT	wd:Q21518493	wikidata
wd:Q216034	PARENT	wd:Q21612328	wikidata
wd:Q21607327	PARENT	wd:Q21387727	wikidata
wd:Q21607327	SIBLING	wd:Q21607328	wikidata
wd:Q21607328	PARENT	wd:Q21387727	wikidata
wd:Q21607495	PARENT	wd:Q748967	wikidata
wd:Q21607514	PARENT	wd:Q740096	wikidata
wd:Q21607566	PARENT	wd:Q6215830	wikidata
wd:Q21607692	SIBLING	wd:Q84736	wikidata
wd:Q21607781	PARENT	wd:Q29885	wikidata
wd:Q21607893	PARENT	wd:Q125214	wikidata
wd:Q21608052	PARENT	wd:Q21608056	wikidata
wd:Q21608256	PARENT	wd:Q61678	wikidata
wd:Q21608604	SIBLING	wd:Q64899	wikidata
wd:Q21608688	SIBLING	wd:Q28860039	wikidata
wd:Q21608758	PARENT	wd:Q21573908	wikidata
wd:Q21609912	PARENT	wd:Q858532	wikidata
wd:Q21610241	PARENT	wd:Q16737250	wikidata
wd:Q21610484	PARENT	wd:Q322185	wikidata
wd:Q21611767	PARENT	wd:Q4111351	wikidata
wd:Q21612325	PARENT	wd:Q21609110	wikidata
wd:Q21612325	PARENT	wd:Q2535368	wikidata
wd:Q21612385	PARENT	wd:Q6234591	wikidata
wd:Q21613707	PARENT	wd:Q929904	wikidata
wd:Q2178760	SIBLING	wd:Q927667	wikidata
wd:Q22102392	SIBLING	wd:Q4018599	wikidata
wd:Q22104550	PARENT	wd:Q21337891	wikidata
wd:Q22107750	PARENT	wd:Q21341788	wikidata
wd:Q22109773	PARENT	wd:Q4392572	wikidata
wd:Q223963	PARENT	wd:Q4182042	wikidata
wd:Q2284684	PARENT	wd:Q5559534	wikidata
wd:Q2287453	PARENT	wd:Q2529493	wikidata
wd:Q23004044	PARENT	wd:Q5813436	wikidata
wd:Q2356835	PARENT	wd:Q2570210	wikidata
wd:Q2371648	PARENT	wd:Q528545	wikidata
wd:Q2375353	PARENT	wd:Q3090541	wikidata
wd:Q2427703	PARENT	wd:Q902546	wikidata
wd:Q2462643	SIBLING	wd:Q932702	wikidata
wd:Q2466938	PARENT	wd:Q2663799	wikidata
wd:Q2489137	PARENT	wd:Q2619918	wikidata
wd:Q2492200	SIBLING	wd:Q316669	wikidata
wd:Q252315	SIBLING	wd:Q4493902	wikidata
wd:Q2544373	PARENT	wd:Q86513	wikidata
wd:Q25796423	PARENT	wd:Q21515964	wikidata
wd:Q2586034	PARENT	wd:Q63875	wikidata
wd:Q2589989	SIBLING	wd:Q3525062	wikidata
wd:Q2612272	SIBLING	wd:Q5572213	wikidata
wd:Q2613598	PARENT	wd:Q3379227	wikidata
wd:Q2625020	PARENT	wd:Q955384	wikidata
wd:Q2627064	PARENT	wd:Q79174	wikidata
wd:Q26712393	PARENT	wd:Q2843330	wikidata
wd:Q26712887	PARENT	wd:Q6035736	wikidata
wd:Q26712940	SIBLING	wd:Q33696262	wikidata
wd:Q26712948	PARENT	wd:Q21391882	wikidata
wd:Q2679156	SIBLING	wd:Q7328601	wikidata
wd:Q2700645	PARENT	wd:Q3182444	wikidata
wd:Q2718878	PARENT	wd:Q727876	wikidata
wd:Q272128	PARENT	wd:Q3823236	wikidata
wd:Q2735687	PARENT	wd:Q18957730	wikidata
wd:Q28028633	PARENT	wd:Q28028614	wikidata
wd:Q282065	PARENT	wd:Q123807	wikidata
wd:Q2830808	SIBLING	wd:Q6237556	wikidata
wd:Q2833396	PARENT	wd:Q2833722	wikidata
wd:Q2833722	PARENT	wd:Q57802	wikidata
wd:Q2835195	SIBLING	wd:Q3579894	wikidata
wd:Q2888459	PARENT	wd:Q1373287	wikidata
wd:Q2896174	SIBLING	wd:Q3048520	wikidata
wd:Q2896174	SIBLING	wd:Q3525142	wikidata
wd:Q2910947	PARENT	wd:Q258817	wikidata
wd:Q2910947	PARENT	wd:Q3350415	wikidata
wd:Q2933703	PARENT	wd:Q2618968	wikidata
wd:Q2959847	SIBLING	wd:Q5787578	wikidata
wd:Q2960279	SIBLING	wd:Q468149	wikidata
wd:Q2986883	PARENT	wd:Q521848	wikidata
wd:Q3018508	PARENT	wd:Q21513817	wikidata
