person	form	kind	code	source
ipni:20078898-1	B.C. Ferrari	FULL	ANY	ipni
ipni:20078899-1	B.C.Behera	STANDARD	BOT	ipni
ipni:20078899-1	B.C. Behera	FULL	ANY	ipni
ipni:20078900-1	B.B.N.D.Romain	STANDARD	BOT	ipni
ipni:20078900-1	B.B.N.D. Romain	FULL	ANY	ipni
ipni:20078901-1	Voleková	STANDARD	BOT	ipni
ipni:20078901-1	B. Voleková	FULL	ANY	ipni
ipni:20078902-1	B.Van der Merwe	STANDARD	BOT	ipni
ipni:20078902-1	B. Van der Merwe	FULL	ANY	ipni
ipni:20078903-1	B.Santam.	STANDARD	BOT	ipni
ipni:20078903-1	Brianna Santamaria	FULL	ANY	ipni
ipni:20078904-1	Salgado-N.	STANDARD	BOT	ipni
ipni:20078904-1	Beatriz E. Salgado-Negret	FULL	ANY	ipni
ipni:20078905-1	Rennick	STANDARD	BOT	ipni
ipni:20078905-1	B. Rennick	FULL	ANY	ipni
ipni:20078906-1	Regenberg	STANDARD	BOT	ipni
ipni:20078906-1	B. Regenberg	FULL	ANY	ipni
ipni:20078907-1	Leofanti	STANDARD	BOT	ipni
ipni:20078907-1	Gabriela Agustina Leofanti	FULL	ANY	ipni
ipni:20078908-1	Echeverría	STANDARD	BOT	ipni
ipni:20078908-1	María Lis Echeverría	FULL	ANY	ipni
ipni:20079113-1	Martín-Muñoz	STANDARD	BOT	ipni
ipni:20079113-1	Juan Martín-Muñoz	FULL	ANY	ipni
ipni:20079114-1	Y.L.Gao	STANDARD	BOT	ipni
ipni:20079114-1	Yuan Long Gao	FULL	ANY	ipni
ipni:20079115-1	Sv.	STANDARD	BOT	ipni
ipni:20079115-1	Vida Janell Svahnström	FULL	ANY	ipni
ipni:20079116-1	P.Qian	STANDARD	BOT	ipni
ipni:20079116-1	Ping Qian	FULL	ANY	ipni
ipni:20079117-1	Y.Xiong	STANDARD	BOT	ipni
ipni:20079117-1	Yu Xiong	FULL	ANY	ipni
ipni:20079118-1	Borchhardt	STANDARD	BOT	ipni
ipni:20079118-1	Nadine Borchhardt	FULL	ANY	ipni
ipni:20079119-1	Gentallan	STANDARD	BOT	ipni
ipni:20079119-1	Renerio P. Gentallan Jr.	FULL	ANY	ipni
ipni:20079119-1	Renerio P. Gentallan	VARIANT	ANY	ipni
ipni:20079120-1	M.B.Bartolome	STANDARD	BOT	ipni
ipni:20079120-1	Michael Cedric B. Bartolome	FULL	ANY	ipni
ipni:20079121-1	Jallad	STANDARD	BOT	ipni
ipni:20079121-1	Walid Jallad	FULL	ANY	ipni
ipni:20079122-1	X.B.Peng	STANDARD	BOT	ipni
ipni:20079122-1	Xiao Bin Peng	FULL	ANY	ipni
ipni:20079123-1	Z.F.Liu	STANDARD	BOT	ipni
ipni:20079123-1	Zhi Fang Liu	FULL	ANY	ipni
ipni:20079124-1	Ram.-Oviedo	STANDARD	BOT	ipni
ipni:20079124-1	Steven Michael Ramírez-Oviedo	FULL	ANY	ipni
ipni:20079125-1	Völtz	STANDARD	BOT	ipni
ipni:20079125-1	Rafael Rosenstock Völtz	FULL	ANY	ipni
