Kuerzel;Bezeichnung;Erlaeuterung;Synonyme;BegriffId;ElternId;Hierarchie;Url;Guid;InspireCode;BoreholeMl;Aenderungsdatum
Q1m;Mittelpleistozän ("Ionium");Ionian (older bound-0.781 Ma, younger bound-0.126 Ma; Stufe/Stage); RGB-Farbwerte nach INSPIRE/ICS: 255 242 199; Quelle: International Chronostratigraphic Chart, Juli 2018;Middle Pleistocene ("Ionian");7;5;5;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/b872250a-f7a5-48a9-b450-041707700e28;b872250a-f7a5-48a9-b450-041707700e28;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/ionian;True;16.08.2018
Q1mS;Saale-Komplex;RGB-Farbwerte nach INSPIRE/ICS: 255 242 199; Quelle: INSPIRE; Stratigraphische Tabelle von Deutschland 2016;Saalian;201;7;6;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/f18f4871-fe41-4501-9ad3-a870637a2006;f18f4871-fe41-4501-9ad3-a870637a2006;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/saalian;False;16.08.2018
Q1mH;Holstein;RGB-Farbwerte nach INSPIRE/ICS: 255 242 199; Quelle: INSPIRE; Stratigraphische Tabelle von Deutschland 2016;Holsteinian;202;7;6;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/25708e93-3222-4d61-a5a4-eaeb4d0a9f9d;25708e93-3222-4d61-a5a4-eaeb4d0a9f9d;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/holsteinian;False;16.08.2018
Q1mE;Elster;RGB-Farbwerte nach INSPIRE/ICS: 255 242 199; Quelle: INSPIRE; Stratigraphische Tabelle von Deutschland 2016;Elsterian;203;7;6;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/e0b2d2b9-c361-496f-b041-d2eb4a182f14;e0b2d2b9-c361-496f-b041-d2eb4a182f14;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/elsterian;False;16.08.2018
Q1mC;Cromer-Komplex;RGB-Farbwerte nach INSPIRE/ICS: 255 242 199; Quelle: INSPIRE; Stratigraphische Tabelle von Deutschland 2016;Cromerian complex;204;7;6;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/983b3119-3be5-4082-bdf3-6c220e5edeb9;983b3119-3be5-4082-bdf3-6c220e5edeb9;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cromerian;False;16.08.2018
Q1C;Calabrium;Calabrian (older bound-1.80 Ma, younger bound-0.781 Ma; Stufe/Stage); RGB-Farbwerte nach INSPIRE/ICS: 255 242 186; Quelle: International Chronostratigraphic Chart, Juli 2018;Calabrian;8;5;5;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/b5bbd681-2619-423d-afb8-3fe3e91854ae;b5bbd681-2619-423d-afb8-3fe3e91854ae;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/calabrian;True;16.08.2018
Q1CB;Bavel-Komplex;RGB-Farbwerte nach INSPIRE/ICS: 255 242 186; Quelle: INSPIRE; Stratigraphische Tabelle von Deutschland 2016;Bavelian complex;205;8;6;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/d13ab0d7-4eae-4a5b-9a8b-83f1fc23477a;d13ab0d7-4eae-4a5b-9a8b-83f1fc23477a;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/bavelian;False;16.08.2018
Q1CM;Menap-Komplex;RGB-Farbwerte nach INSPIRE/ICS: 255 242 186; Quelle: INSPIRE; Stratigraphische Tabelle von Deutschland 2016;Menapian complex;206;8;6;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/e3656ad6-c7b6-4ccc-ab8e-defebe33a83c;e3656ad6-c7b6-4ccc-ab8e-defebe33a83c;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/calabrian;False;16.08.2018
Q1CW;Waal-Komplex;RGB-Farbwerte nach INSPIRE/ICS: 255 242 186; Quelle: INSPIRE; Stratigraphische Tabelle von Deutschland 2016;Waalian complex;207;8;6;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/b4931bcc-206a-489d-a32f-4f1d11eb9e31;b4931bcc-206a-489d-a32f-4f1d11eb9e31;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/calabrian;False;16.08.2018
Q1CE;Eburon-Komplex;RGB-Farbwerte nach INSPIRE/ICS: 255 242 186; Quelle: INSPIRE; Stratigraphische Tabelle von Deutschland 2016;Eburonian complex;208;8;6;https://www.geokartieranleitung.de/desktopmodules/gkalist/api/3990db0a-233d-4016-8e94-7fd58e2a1552;3990db0a-233d-4016-8e94-7fd58e2a1552;http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/calabrian;False;16.08.2018
