ID|Language|Label|Definition|Description|Governance level ID|Governance level Label|Codelist ID|Codelist label|Reference Source|Reference Link|Status ID|Status label|Parent ID|Successor ID|Predecessor ID
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrian|en|Cambrian|IUGS /CGI value|Cambrian (older bound-542 +/-1 Ma, younger bound-488.3 +/-1.7 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/paleozoic||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/furongian|en|Furongian|IUGS /CGI value|Furongian (older bound-499.0 Ma, younger bound-488.3 +/-1.7 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrianStage10|en|Cambrian-Stage 10|IUGS /CGI value|Cambrian-Stage 10 (older bound-492.0 Ma, younger bound-488.3 +/-1.7 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/furongian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrianStage9|en|Cambrian-Stage 9|IUGS /CGI value|Cambrian-Stage 9 (older bound-496.0 Ma, younger bound-492.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/furongian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/paibian|en|Paibian|IUGS /CGI value|Paibian (older bound-499.0 Ma, younger bound-496.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/furongian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrianSeries3|en|Cambrian-Series 3|IUGS /CGI value|Cambrian-Series 3 (older bound-510.0 Ma, younger bound-499.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrian||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/guzhangian|en|Guzhangian|IUGS /CGI value|Guzhangian (older bound-503.0 Ma, younger bound-499.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrianSeries3||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/drumian|en|Drumian|IUGS /CGI value|Drumian (older bound-506.5 Ma, younger bound-503.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrianSeries3||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrianSeries3Stage5|en|Cambrian-Series 3-Stage 5|IUGS /CGI value|Cambrian-Series 3-Stage 5 (older bound-510.0 Ma, younger bound-506.5 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrianSeries3||
http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrianSeries2|en|Cambrian-Series 2|IUGS /CGI value|Cambrian-Series 2 (older bound-521.0 Ma, younger bound-510.0 Ma)|http://inspire.ec.europa.eu/registry/governance-level/eu-technical|Technical (EU)|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue|Geochronologic Era|||http://inspire.ec.europa.eu/registry/status/valid|Valid|http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/cambrian||
