"interval_no","record_type","scale_no","scale_level","interval_name","abbrev","parent_no","color","max_ma","min_ma","reference_no"
"555","int","","","Porterfieldian","","","","0.00000","0.00000","8960"
"32","int","1","4","Holocene","","12","#FEF2E0","0.01170","0.00000","47900"
"3002","int","1","5","Holocene","","32","#FEF2E0","0.01170","0.00000","47900"
"1088","int","","","Tarantian","","","","0.12600","0.01200","42499"
"922","int","1","5","Late Pleistocene","","33","#FFF2D3","0.12600","0.01170","15443"
"239","int","","","Sheridanian","","","","0.30000","0.01200","5959"
"237","int","","","Rancholabrean","","","","0.30000","0.01200","5959"
"943","int","","","Haweran","","","","0.34000","0.00000","18155"
"718","int","","","Lujanian","","","","0.78100","0.01200","9569"
"1089","int","","","Ionian","","","","0.78100","0.12600","42499"
"923","int","1","5","Middle Pleistocene","","33","#FFF2C7","0.78100","0.12600","15443"
"719","int","","","Ensenadan","","","","1.20000","0.78100","9569"
"944","int","","","Castlecliffian","","","","1.63000","0.34000","18155"
"240","int","","","Cudahyan","","","","1.80000","0.30000","5959"
"241","int","","","Sappan","","","","1.80000","0.30000","5959"
"238","int","","","Irvingtonian","","","","1.80000","0.30000","5959"
"740","int","1","5","Calabrian","","33","#FFF2BA","1.80600","0.78100","47900"
"945","int","","","Nukumaruan","","","","2.40000","1.63000","18155"
"295","int","","","MN 17","","","","2.58800","1.80600","8851"
"1038","int","","","Nihewanian","","","","2.58800","0.01200","23736"
"924","int","","","Early Pleistocene","","","","2.58800","0.78100","15443"
"12","int","1","3","Quaternary","","1","#F9F97F","2.58800","0.00000","47900"
"33","int","1","4","Pleistocene","","12","#FFF2AE","2.58800","0.01170","47900"
"741","int","1","5","Gelasian","","33","#FFEDB3","2.58800","1.80600","47900"
"720","int","","","Uquian","","","","3.00000","1.20000","9569"
"946","int","","","Mangapanian","","","","3.00000","2.40000","18155"
"296","int","","","MN 16","","","","3.20000","2.58800","8851"
"288","int","","","Villanyian","","","","3.20000","2.58800","8851"
"947","int","","","Waipipian","","","","3.60000","3.00000","18155"
"81","int","","","Late Pliocene","","","","3.60000","2.58800","5954"
"96","int","1","5","Piacenzian","","34","#FFFFBF","3.60000","2.58800","47900"
"721","int","","","Chapadmalalan","","","","4.00000","3.00000","9569"
"297","int","","","MN 15","","","","4.20000","3.20000","8851"
"243","int","","","Rexroadian","","","","4.90000","1.80000","5959"
"1039","int","","","Yushean","","","","4.90000","2.58800","23736"
"219","int","","","Blancan","","","","4.90000","1.80000","5954"
"242","int","","","""Senecan""","","","","4.90000","1.80000","5959"
"298","int","","","MN 14","","","","4.90000","4.20000","8851"
"925","int","","","Wanganui","","","","5.33300","0.00000","18155"
"948","int","","","Opoitian","","","","5.33300","3.60000","18155"
"82","int","","","Early Pliocene","","","","5.33300","3.60000","5954"
"289","int","","","Ruscinian","","","","5.33300","3.20000","8851"
"34","int","1","4","Pliocene","","25","#FFFF99","5.33300","2.58800","47900"
"97","int","1","5","Zanclean","","34","#FFFFB3","5.33300","3.60000","47900"
"949","int","","","Kapitean","","","","6.50000","5.33300","18155"
"722","int","","","Montehermosan","","","","6.80000","4.00000","9569"
"299","int","","","MN 13","","","","7.24600","4.90000","8851"
"98","int","1","5","Messinian","","35","#FFFF73","7.24600","5.33300","47900"
"300","int","","","MN 12","","","","7.75000","7.24600","8851"
"290","int","","","Turolian","","","","8.70000","5.33300","8851"
"301","int","","","MN 11","","","","8.70000","7.75000","8851"
"723","int","","","Huayquerian","","","","9.00000","6.80000","9569"
"302","int","","","MN 10","","","","9.70000","8.70000","8851"
"724","int","","","Chasicoan","","","","10.00000","9.00000","9569"
"220","int","","","Hemphillian","","","","10.30000","4.90000","5954"
"244","int","","","Late Hemphillian","","","","10.30000","4.90000","5959"
"245","int","","","late Early Hemphillian","","","","10.30000","4.90000","5959"
"246","int","","","early Early Hemphillian","","","","10.30000","4.90000","5959"
"926","int","","","Taranaki","","","","10.92000","5.33300","18155"
"303","int","","","MN 9","","","","11.10000","9.70000","8851"
"1040","int","","","Baodean","","","","11.10000","4.90000","23736"
"291","int","","","Vallesian","","","","11.60800","8.70000","8851"
"1044","int","","","Pannonian","","","","11.60800","7.24600","23788"
"950","int","","","Tongaporutuan","","","","11.60800","6.50000","18155"
"83","int","","","Late Miocene","","","","11.60800","5.33300","5954"
"99","int","1","5","Tortonian","","35","#FFFF66","11.62000","7.24600","47900"
"725","int","","","Mayoan","","","","11.80000","10.00000","9569"
"951","int","","","Waiauan","","","","12.70000","11.60800","18155"
"1045","int","","","Sarmatian","","","","12.70000","11.60800","23788"
"304","int","","","MN 7 + 8","","","","12.75000","11.10000","8851"
"221","int","","","Clarendonian","","","","13.60000","10.30000","5954"
"247","int","","","Late Clarendonian","","","","13.60000","10.30000","5959"
"248","int","","","Early Clarendonian","","","","13.60000","10.30000","5959"
"1041","int","","","Tunggurian","","","","13.65000","11.10000","23736"
"1046","int","","","Badenian","","","","13.65000","12.70000","23788"
"952","int","","","Lillburnian","","","","13.65000","12.70000","18155"
"305","int","","","MN 6","","","","13.65000","12.75000","8851"
"726","int","","","Laventan","","","","13.80000","11.80000","9569"
"100","int","1","5","Serravallian","","35","#FFFF59","13.82000","11.62000","47900"
"727","int","","","Colloncuran","","","","15.50000","13.80000","9569"
"953","int","","","Clifdenian","","","","15.90000","13.65000","18155"
"927","int","","","Southland","","","","15.90000","10.92000","18155"
"251","int","","","Early Barstovian","","","","15.97000","13.60000","5959"
"222","int","","","Barstovian","","","","15.97000","13.60000","5954"
"292","int","","","Astaracian","","","","15.97000","11.60800","8851"
"306","int","","","MN 5","","","","15.97000","13.65000","8851"
"249","int","","","late Late Barstovian","","","","15.97000","13.60000","5959"
"84","int","","","Middle Miocene","","","","15.97000","11.60800","5954"
"250","int","","","early Late Barstovian","","","","15.97000","13.60000","5959"
"101","int","1","5","Langhian","","35","#FFFF4D","15.97000","13.82000","47900"
"728","int","","","Friasian","","","","16.30000","15.50000","9569"
"1042","int","","","Shanwangian","","","","16.90000","13.65000","23736"
"307","int","","","MN 4","","","","16.90000","15.97000","8851"
"729","int","","","Santacrucian","","","","17.50000","16.30000","9569"
"954","int","","","Altonian","","","","19.00000","15.90000","18155"
"308","int","","","MN 3","","","","20.00000","16.90000","8851"
"293","int","","","Orleanian","","","","20.00000","15.97000","8851"
"253","int","","","Early Hemingfordian","","","","20.43000","15.97000","5959"
"223","int","","","Hemingfordian","","","","20.43000","15.97000","5954"
"252","int","","","Late Hemingfordian","","","","20.43000","15.97000","5959"
"102","int","1","5","Burdigalian","","35","#FFFF41","20.44000","15.97000","47900"
"730","int","","","Colhuehuapian","","","","21.00000","17.50000","9569"
"928","int","","","Pareora","","","","21.70000","15.90000","18155"
"955","int","","","Otaian","","","","21.70000","19.00000","18155"
"309","int","","","MN 2","","","","22.40000","20.00000","8851"
"294","int","","","Agenian","","","","23.03000","20.00000","8851"
"310","int","","","MN 1","","","","23.03000","22.40000","8851"
"1043","int","","","Xiejiaan","","","","23.03000","16.90000","23736"
"85","int","","","Early Miocene","","","","23.03000","15.97000","5954"
