PKT	Pakistan Standard Time	+0500
PMDT	Saint Pierre and Miquelon Daylight Time	-0200
PMST	Saint Pierre and Miquelon Standard Time	-0300
PONT	Pohnpei Standard Time	+1100
PST	Pacific Standard Time (North America)	-0800
PT	Pacific Time (North America)	-08 / -0700
PWT	Palau Time	+0900
PYST	Paraguay Summer Time	-0300
PYT	Paraguay Time	-0400
RET	Réunion Time	+0400
ROTT	Rothera Research Station Time	-0300
SAKT	Sakhalin Island Time	+1100
SAMT	Samara Time	+0400
SAST	South African Standard Time	+0200
SBT	Solomon Islands Time	+1100
SCT	Seychelles Time	+0400
SDT	Samoa Daylight Time	-1000
SGT	Singapore Time	+0800
SLST	Sri Lanka Standard Time	+0530
SRET	Srednekolymsk Time	+1100
SRT	Suriname Time	-0300
SST	Samoa Standard Time	-1100
SYOT	Showa Station Time	+0300
TAHT	Tahiti Time	-1000
THA	Thailand Standard Time	+0700
TFT	French Southern and Antarctic Time	+0500
TJT	Tajikistan Time	+0500
TKT	Tokelau Time	+1300
TLT	Timor Leste Time	+0900
TMT	Turkmenistan Time	+0500
TRT	Turkey Time	+0300
TOT	Tonga Time	+1300
TST	Taiwan Standard Time	+0800
TVT	Tuvalu Time	+1200
ULAST	Ulaanbaatar Summer Time	+0900
ULAT	Ulaanbaatar Standard Time	+0800
UTC	Coordinated Universal Time	+0000
UYST	Uruguay Summer Time	-0200
UYT	Uruguay Standard Time	-0300
UZT	Uzbekistan Time	+0500
VET	Venezuelan Standard Time	-0400
VLAT	Vladivostok Time	+1000
VOLT	Volgograd Time	+0300
VOST	Vostok Station Time	+0600
VUT	Vanuatu Time	+1100
WAKT	Wake Island Time	+1200
WAST	West Africa Summer Time	+0200
WAT	West Africa Time	+0100
WEST	Western European Summer Time	+0100
WET	Western European Time	+0000
WIB	Western Indonesian Time	+0700
WIT	Eastern Indonesian Time	+0900
WITA	Central Indonesia Time	+0800
WGST	West Greenland Summer Time	-0200
WGT	West Greenland Time	-0300
WST	Western Standard Time	+0800
YAKT	Yakutsk Time	+0900
YEKT	Yekaterinburg Time	+0500
