id,subject_dataset_key,subject_rank,subject_name,target_rank,target_name,target_id
88,1098,GENUS,Globoa,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
89,1098,GENUS,Hassea,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
90,1098,GENUS,Neoventuria,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
91,1098,GENUS,Pleosphaeropsis,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
92,1098,GENUS,Manoharachariella,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
93,1098,GENUS,Pseudopleospora,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
94,1098,GENUS,Thelenidia,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
95,1098,GENUS,Stuartella,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
96,1098,GENUS,Chermomyces,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
97,1098,GENUS,Soloacrosporiella,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
98,1098,GENUS,Montagnella,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
99,1098,GENUS,Scleroconidioma,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
100,1098,GENUS,Capillataspora,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
101,1098,GENUS,Physalosporopsis,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
102,1098,GENUS,Phaeocyrtidula,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
103,1098,GENUS,Brevicatenospora,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
104,1098,GENUS,Licopolia,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
105,1098,GENUS,Stictochorellina,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
106,1098,GENUS,Elmerinula,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
107,1098,GENUS,Hypobryon,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
108,1098,GENUS,Phanerococcus,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
109,1098,GENUS,Capsicispora,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
110,1098,GENUS,Dermatodothella,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
111,1098,GENUS,Mycoporellum,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
112,1098,GENUS,Mycoglaena,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
113,1098,GENUS,Belizeana,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
114,1098,GENUS,Megaloseptoria,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
115,1098,GENUS,Teichosporella,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
116,1098,GENUS,Thryptospora,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
117,1098,GENUS,Plectophoma,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
118,1098,GENUS,Brooksia,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
119,1098,GENUS,Leveillina,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
120,1098,GENUS,Mycoporopsis,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
121,1098,GENUS,Chaetoscutula,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
122,1098,GENUS,Lazarenkoa,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
123,1098,GENUS,Catinella,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
124,1098,GENUS,Pteridiospora,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
125,1098,GENUS,Polysporidiella,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
126,1098,GENUS,Koordersiella,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
127,1098,GENUS,Buelliella,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
128,1098,GENUS,Bahusakala,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
129,1098,GENUS,Pyrenocyclus,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
130,1098,GENUS,Santiella,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
131,1098,GENUS,Dendryphiopsis,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
132,1098,GENUS,Coccochorella,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
133,1098,GENUS,Griggsia,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
134,1098,GENUS,Bertossia,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
135,1098,GENUS,Myriostigmella,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
136,1098,GENUS,Homostegia,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
137,1098,GENUS,Semifissispora,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
138,1098,GENUS,Dolabra,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
139,1098,GENUS,Grandigallia,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
140,1098,GENUS,Repetophragma,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
141,1098,GENUS,Bryorella,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
142,1098,GENUS,Prolisea,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
143,1098,GENUS,Bryostroma,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
144,1098,GENUS,Ceratocarpia,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
145,1098,GENUS,Isomunkia,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
146,1098,GENUS,Perusta,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
147,1098,GENUS,Kirschsteiniella,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
148,1098,GENUS,Mycocryptospora,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
149,1098,GENUS,Lanatosphaera,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
150,1098,GENUS,Byssogene,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
151,1098,GENUS,Pyrenochium,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
152,1098,GENUS,Semisphaeria,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
153,1098,GENUS,Pseudoramichloridium,CLASS,Dothideomycetes,5c18c32b-9574-4a56-a910-3ca1ce4204d2
