ACANTHARIA	Acantharea
ARNAUDIA	Acantharia
ACARPOMYXEA	Acarpomyxa
ACIDOBACTERIA	Acidobacteria
ACTINOBACTERIA	Actinobacteria
ACTINOMYCETES	Actinobacteria
HIGH	Actinobacteria
BONY FISHES	Actinopterygii
OSTEICHTHYES	Actinopterygii
AGARICOMYCETIDAE	Agaricomycetes
HOMOBASIDIOMYCETES	Agaricomycetes
HYMENOMYCETIDAE	Agaricomycetes
AGARICOSTILBOMYCETIDAE	Agaricostilbomycetes
CEPHALASPIDOMORPHI	Agnatha
ALPHABACTERIA	Alphaproteobacteria
ALPHAPROTEOBACTERIA	Alphaproteobacteria
ALPHA PROTEOBACTERIA	Alphaproteobacteria
ALPHA SUBDIVISION	Alphaproteobacteria
ALPHA SUBGROUP	Alphaproteobacteria
PROTEOBACTERIA ALPHA SUBDIVISION	Alphaproteobacteria
PURPLE BACTERIA	Alphaproteobacteria
SCHIZOPYRENIDA	Amoebomastigota
APSIDOSPONDYLI	Amphibia
LEPOSPONDYLI	Amphibia
LISSAMPHIBIA	Amphibia
SALIENTIA	Amphibia
ANAEROLINEAE	Anaerolineae
ANDREAEIDAE	Andreaeopsida
ANTHOCEROTOPSIDA	Anthocerotopsida
SOLENOGASTRES	Aplacophora
LARVACEA	Appendicularia
AQUIFICAE	Aquificae
ARCHAEOGLOBEA	Archaeoglobi
ARCHAEOGLOBI	Archaeoglobi
ARTICULATA	Articulata
SORBERACEA	Ascidiacea
CONCENTRICYCLOIDEA	Asteroidea
CONCENTRICYCLOIDEA	Asteroidea De
BACILLI	Bacilli
BACILLUS	Bacilli
BACTEROIDETES	Bacteroidia
BACTEROIDIA	Bacteroidia
BANGIOPHYCIDEAE	Bangiophyceae
GASTEROMYCETES	Basidiomycetes
HYMENOMYCETES	Basidiomycetes
BETAPROTEOBACTERIA	Betaproteobacteria
BETA PROTEOBACTERIA	Betaproteobacteria
BETA SUBDIVISION	Betaproteobacteria
BETA SUBGROUP	Betaproteobacteria
PROTEOBACTERIA BETA SUBDIVISION	Betaproteobacteria
PURPLE BACTERIA	Betaproteobacteria
CONCHIFERA	Bivalvia
LAMELLIBRANCHIATA	Bivalvia
PELECYPODA	Bivalvia
ALLOMYCETES	Blastocladiomycetes
CALDILINEAE	Caldilineae
CALDISERICIA	Caldisericia
CAMAROSPORIUM CORONILLAE	Camarosporium Coronillae
CEPHALASPIDOMORPHA	Cephalaspidomorphi
ACRANIA	Cephalochordata
LEPTOCARDIA	Cephalochordata
CESTOIDEA	Cestoda
CHLOROBEA	Chlorobia
CHLOROBIA	Chlorobia
CHLOROFLECALES	Chloroflexi
CHLOROFLEXACEAE	Chloroflexi
CHLOROFLEXI	Chloroflexi
CHLOROFLEXUS GROUP	Chloroflexi
ADENOPHOREA	Chromadorea
CHRYSIOGENES GROUP	Chrysiogenetes
CHRYSIOGENETES	Chrysiogenetes
CHRYSOMONADA	Chrysophyceae
CHRYSOMONADIDA	Chrysophyceae
CHRYSOPHYTA	Chrysophyceae
CLOSTRIDIA	Clostridia
COLPODEA	Colpodea
COMPSOPOGONOPHYCEAE	Compsopogonophyceae
ASTERIAS PECTINATA	Crinoidea
CRINOZOA	Crinoidea
EUCRINOIDEA	Crinoidea
CRYPTOMONADIDA	Cryptophyta
CRYPTOPHYCEAE	Cryptophyta
MYXOPHYCEAE	Cyanophyceae
CYTOPHAGIA	Cytophagia
DEFERRIBACTERES	Deferribacteres
FLEXISTIPES GROUP	Deferribacteres
DEHALOCOCCOIDETES	Dehalococcoidetes
DEINOCOCCI	Deinococci
HADOBACTERIA	Deinococci
DELTABACTERIA	Deltaproteobacteria
DELTAPROTEOBACTERIA	Deltaproteobacteria
