name,type,start,end,parent,labels
Paleoproterozoic,ERA,2500.0,1600.0,Proterozoic,paleoproterozoïcum|paleoproterozoikum|paleoproterozoikum|Paleoproterozóico|paleoproterozoik|Paléoprotérozoïque|Paleoproterozoico|Palaeoproterozoic|古元古代|paleoproterozoico|Палеопротерозой|Palæoproterozoisk|Paleoproterozoik|Paleoproterozoic|Paleoproterozoic|Paleoproterosoikum|Paläoproteroizoikum|Paleoproterozoikum|Paleoproterozoikum|Paleoproterotsoikum|paleoproterozikum|Paleoproterozojus|原生代前期
Neoarchean,ERA,2800.0,2500.0,Archean,Néoarchéen|neoarcheano|neoarhaik|Neoarhaikum|neoarkeikum|新太古代|Neoarkeikum|Neoarkeikum|neoarchaikum|neoarchaikum|Neoarchean|Neoarchean|Neoarkæisk|Neoarcaico|Neoarcaico|Neo-archaicum|Neoarchejus|пеоархай|Neoarchaean|Neoarchaikum|Neoarchaikum|新始生代|Neoarchaik
Mesoarchean,ERA,3200.0,2800.0,Archean,mezoarchaikum|mesoarkeikum|mezoarchai|Mezoarchaikum|Mesoarhaikum|Mesoarkæisk|mesoarcheano|Mesoarkeikum|Mesoarkeikum|Mezoarchejus|Mesoarchaean|Mésoarchéen|中始生代|Mesoarchean|Mesoarchean|Мезоархай|Meso-archaicum|Mesoarcaico|Mesoarcaico|mezoarhaik|中太古代|Mesoarchaikum|Mezoarchaik
Paleoarchean,ERA,3600.0,3200.0,Archean,paleoarchaikum|Paleoarkeikum|Paleoarkeikum|Palaeoarchaean|Paleoarchaikum|Paléoarchéen|Палеоархай|paleoarkeikum|Paleoarcaico|Paleoarcaico|Paleoarhaikum|Paleoarchejus|古始生代|paleoarchai|Paläoarchaikum|Paleoarchaik|Palæoarkæisk|paleoarhaik|paleoarcheano|Paleoarchean|Paleoarchean|古太古代|Paleo-archaicum
Eoarchean,ERA,4000.0,3600.0,Archean,Eoarhaikum|Eoarchéen|Еоархай|eoarcheano|始太古代|暁始生代|Eoarchaikum|Eoarchaikum|Eoarchean|Eoarchean|Eoarchejus|eoarchaikum|eoarchaikum|Eoarcaico|Eoarcaico|eoarhaik|eoarkeikum|Eoarkeikum|Eoarkeikum|Eoarchaik|Eoarchaean|Eo-archaicum|Eoarkæisk
Quaternary,PERIOD,2.58,0.0,Cenozoic,kvartär|Kwartair|第四纪|第四紀|Kvartér|Quartär|Quaternaire|negyedidőszak|Kvaternaar|Quaternary|kvartar|Czwartorzęd|Kvarteras|Кватернер|quaternario|Quaternário|Kvartær|Kvartær|kvartér|Cuaternario|Kvartääri
Neogene,PERIOD,23.03,2.58,Cenozoic,Neogenas|пеоген|Neogénico|Neógeno|Neogeen|Neogeen|Néogène|neogen|neogen|晚第三纪|Neogén|新第三紀|neogene|neogén|neogén|Neogen|Neogen|Neogen|Neogen|Neogeeni|Neogene
Paleogene,PERIOD,66.0,23.03,Cenozoic,Palaeogene|Paleogeeni|Paleógeno|Paleogeen|Paleogeen|早第三纪|Paléogène|Paleogén|Paleogenas|paleogen|paleogen|Paleogene|Paleogene|Palæogen|paleogene|Paläogen|Paleogen|Paleogen|Палеоген|paleogén|paleogén|古第三紀|Paleogénico
Cretaceous,PERIOD,145.0,66.0,Mesozoic,白垩纪|krieda|Kritt|白亜紀|Krijt|kreda|Cretaceous|krita|Kreide|Креда|Kridt|Cretácico|Cretácico|cretacico|Kreida|Kreda|kréta|Křída|Liitu|Crétacé|Kriit
Jurassic,PERIOD,201.3,145.0,Mesozoic,"jura, jurský|Jurassic|Jurassique|Jurásico|Jurássico|Juura|giurassico|jura|jura|jura|Jura|Jura|Jura|Jura|Jura|Jura|Jura|Jurassisk|ジュラ紀|Юра|侏罗纪"
